paper id,paper title,year,author number,author position,author name,author aff
2015-0000,A Prophet Not in His (or Her) Own Land: The Effect of Distance Traversed on Social Influence,2015,3,1,Edward L. Fink,Temple University
2015-0000,A Prophet Not in His (or Her) Own Land: The Effect of Distance Traversed on Social Influence,2015,3,2,Deborah A. Cai,Temple University
2015-0000,A Prophet Not in His (or Her) Own Land: The Effect of Distance Traversed on Social Influence,2015,3,3,Sanja Sipek,U of Maryland
2015-0001,A Laboratory Investigation on Predictors and Consequences of Experiencing Social Closeness During the Usage of Social Networking Sites,2015,2,1,German Neubaum,U of Duisburg-Essen
2015-0001,A Laboratory Investigation on Predictors and Consequences of Experiencing Social Closeness During the Usage of Social Networking Sites,2015,2,2,Nicole C. Kramer,U of Duisburg - Essen
2015-0002,Blending In or Standing Out? Investigating the Impact of Selfies and Social Comparison and Individuals’ Self-Concept,2015,5,1,Zeynep Melis Altinay,Louisiana State University
2015-0002,Blending In or Standing Out? Investigating the Impact of Selfies and Social Comparison and Individuals’ Self-Concept,2015,5,2,Arienne Ferchaud,Pennsylvania State U
2015-0002,Blending In or Standing Out? Investigating the Impact of Selfies and Social Comparison and Individuals’ Self-Concept,2015,5,3,Minjie Li,Louisiana State University
2015-0002,Blending In or Standing Out? Investigating the Impact of Selfies and Social Comparison and Individuals’ Self-Concept,2015,5,4,Shiyla Sharae Goodie,California State U - Monterrey Bay
2015-0002,Blending In or Standing Out? Investigating the Impact of Selfies and Social Comparison and Individuals’ Self-Concept,2015,5,5,Meghan Shara Sanders,Louisiana State U
2015-0003,Parasocial Relationships as Meaningful Relationships: An Exploratory Study of PSRs’ Relationship With Companionship and Emotional Support,2015,1,1,Meghan Shara Sanders,Louisiana State U
2015-0004,Romantic Jealousy 2.0: Facebook Jealousy as a Three-Component Conceptualization,2015,2,1,Elisabeth Timmermans,U of Leuven - School for Mass Communication Research
2015-0004,Romantic Jealousy 2.0: Facebook Jealousy as a Three-Component Conceptualization,2015,2,2,Jenna McNallie,Purdue U
2015-0005,The Role of Source Identification and Credibility in the Social Media Impact Hypothesis,2015,4,1,Tamara Makana Chock,Syracuse U
2015-0005,The Role of Source Identification and Credibility in the Social Media Impact Hypothesis,2015,4,2,Ji Won Kim,Syracuse University
2015-0005,The Role of Source Identification and Credibility in the Social Media Impact Hypothesis,2015,4,3,Myojung Chung,Syracuse U
2015-0005,The Role of Source Identification and Credibility in the Social Media Impact Hypothesis,2015,4,4,Eun Ji (Angie) Chung,Syracuse University
2015-0006,"Twitter, Twitter on my Screen What Opinion Can be Seen?",2015,1,1,Elias Kyewski,U Duisburg-Essen
2015-0007,Zero Likes: Virtual Thumbs Down for Belongingness and Self-Esteem,2015,3,1,Leonie Heling,U of Mannheim
2015-0007,Zero Likes: Virtual Thumbs Down for Belongingness and Self-Esteem,2015,3,2,Sabine Reich,U of Mannheim
2015-0007,Zero Likes: Virtual Thumbs Down for Belongingness and Self-Esteem,2015,3,3,Peter Vorderer,U of Mannheim
2015-0008,"Claim and Value: Sixty Years of Rhetorical, Critical, and Empirical Research",2015,2,1,Michael Keith Middleton,U of Utah
2015-0008,"Claim and Value: Sixty Years of Rhetorical, Critical, and Empirical Research",2015,2,2,James A. Anderson,U of Utah
2015-0009,Jimmy Carter and the Emerging National “Malaise”: Letters to the Editor in America’s Political System,2015,2,1,Lori Amber Roessner,U of Tennessee
2015-0009,Jimmy Carter and the Emerging National “Malaise”: Letters to the Editor in America’s Political System,2015,2,2,Jaclyn Cameron,U of Tennessee
2015-0010,"Starting a Family: Brand Journalism and Ford Times, 1908-1917",2015,1,1,Rebecca Dean Swenson,U of Minnesota
2015-0011,"""A Traitor to His Class"": Race and Publisher W.E. ‘Ned’ Chilton III, 1953-1984",2015,1,1,Edgar C. Simpson,Central Michigan University
2015-0012,Marshall Plan Films In/About Turkey (1948-1952): Birth and Development of “Development Discourse” in Turkey,2015,1,1,Altug Akin,Izmir University of Economics
2015-0013,"The Power of a Protest Icon: How Anger, Solidarity, and Subjugation Converged in “Hands Up, Don’t Shoot” in Ferguson, Missouri",2015,5,1,Margaret Ellen Duffy,U of Missouri
2015-0013,"The Power of a Protest Icon: How Anger, Solidarity, and Subjugation Converged in “Hands Up, Don’t Shoot” in Ferguson, Missouri",2015,5,2,Janis Teruggi Page,American University
2015-0013,"The Power of a Protest Icon: How Anger, Solidarity, and Subjugation Converged in “Hands Up, Don’t Shoot” in Ferguson, Missouri",2015,5,3,Cynthia Marie Frisby,Missouri
2015-0013,"The Power of a Protest Icon: How Anger, Solidarity, and Subjugation Converged in “Hands Up, Don’t Shoot” in Ferguson, Missouri",2015,5,4,Gregory Pearson Perreault,U of Missouri
2015-0013,"The Power of a Protest Icon: How Anger, Solidarity, and Subjugation Converged in “Hands Up, Don’t Shoot” in Ferguson, Missouri",2015,5,5,Brad Best,Missouri School of Journalism
2015-0014,"Producing a Crossover Fail: A Case Study of Latin Pop Star ""Nigga""/Flex",2015,1,1,Michelle M Rivera,U of Illinois at Urbana–Champaign
2015-0015,Testimonies of Race-Based Suffering: Individual Differences in Openness to the Other,2015,1,1,Aaron Castelan Cargile,California State U
2015-0016,The Representations of the Minority Group in the Traditional Print Media of Singapore: A Comparative Content Analysis,2015,5,1,Nathanael Subasaran,National U of Singapore
2015-0016,The Representations of the Minority Group in the Traditional Print Media of Singapore: A Comparative Content Analysis,2015,5,2,Esther Geraldine Tan Tan,National U of Singapore
2015-0016,The Representations of the Minority Group in the Traditional Print Media of Singapore: A Comparative Content Analysis,2015,5,3,Thi Ngoc Bich Pham Pham,National U of Singapore
