paper id,year,paper type,paper title,author number,abstract,session title,sub unit
2014-0000,2014,Paper Session,Exploring Japanese Media’s Health Coverage in Response to the 2011 Triple Catastrophe,3,"Media system dependency theory suggests that in times of threat and ambiguity, for example, during Japan’s 2011 triple catastrophe, individuals’ dependency on media for information is intensified. Individuals depend on the media for information to gauge health risk and learn protective measures. Dependency relations between the media system and other entities, however, can influence how effectively the media fulfill this important function. This study used a quantitative content analysis of one year of coverage for two Japanese newspapers, the Asahi Shinbun and the Yomiuri Shinbun, to determine the extent to which the news media provided necessary public health information. Results suggest that media system dependency relations may have reduced the amount and type of public health information included in the disaster coverage. Implications of these findings for public health communication are discussed.",Meda Coverage of Health Issues,Health Communication
2014-0001,2014,Paper Session,"National Conversations About Systemic Illness in U.S. Health Care: Influences on Media Coverage of Rising Health Care Costs, 1993-2010",4,"This study evaluated 531 newspaper articles and television transcripts to examine how the U.S. media presented the issue of rising health care costs from 1993 to 2010. The prominence of health care coverage, expert sources and the presentation of the causes of rising health care costs were assessed. Results suggest that the president influenced health care news coverage while expert sources quoted in the reports influenced how the causes of rising health care cost were presented. Findings contribute to the growing body of academic literature on agenda building theory and provide insights for health care reform advocates interested in maximizing their media advocacy efforts.",Meda Coverage of Health Issues,Health Communication
2014-0002,2014,Paper Session,The Impact of Imagery Ability on Perceived Image Vividness: The Case of HPV Vaccine Advertising,2,"This research investigates the extent of pictorial superiority by adopting the Dual Coding Theory (DCT) to test imagery processing provoked by verbal/visual stimuli within the context of HPV vaccine advertising. In keeping with the postulates of the vividness hypothesis, a 2 (high/low imagery ability) by 2 (pictorial/non-pictorial) experiment was conducted on a randomized sample of sophomore college students. We found that an individual’s imagery ability, combined with varied messages, proves to have a moderating effect on both free call and positive attitude. Findings also support the hypothesis that vividness perception is a mediator between imagery ability and free recall.",Meda Coverage of Health Issues,Health Communication
2014-0003,2014,Paper Session,The Role of Media Coverage in Cities With/Without Smoke-Free Ordinances: A 7-Year Content Analysis,2,"We provide the results of a 7-year content analysis of 4,711 newspaper stories and editorials as part of a larger tobacco-control intervention supported by a $5.3 million grant. The main goal was to determine whether news story and editorial characteristics differed in cities/counties with/without tobacco control policies. News media are important information sources for health issues (e.g., tobacco control) and could inform community members who depend upon local newspapers, illuminating newspapers' priorities in providing information about tobacco control policies. Results showed that ordinance cities had more pro-tobacco-control support, public health facts, localization, mobilization, local sources, ordinary citizens as authors, and longer news stories but this coverage appeared in less dominant pages with more negative headlines as compared to no-ordinance cities. Tobacco industry may have greater success in impacting news coverage in no-ordinance cities by diverting attention from tobacco control to secondary issues (e.g., youth smoking) or themes (e.g, business rights).",Meda Coverage of Health Issues,Health Communication
2014-0004,2014,Paper Session,Change Your Ways: Fostering Health Attitudes Toward Change Through Selective Exposure to Online Health Messages,3,"In a lab study, 419 participants accessed online search results about health topics. The display varied messages in a 4 x 2 x 2 all within-subjects design, with topic as four-step factor (organic food, coffee, fruit and vegetable consumption, physical exercise) and source credibility (low vs. high) and issue stance (promoting vs. opposing health behavior) as two-step factors. Displayed messages either promoted the related behavior or suggested avoiding it. Results showed that both engaging more frequently in a health behavior and perceiving greater standard-behavior discrepancy (between recommended behavior standards and own behavior) fostered aligned attitudes through selective exposure to messages promoting that behavior. The impact from selective exposure to health messages on attitudes occurred regardless of associated source credibility.",Cognition and Health,Health Communication
2014-0005,2014,Paper Session,Exploring How Personal Health Beliefs and Social Risks Contribute to College Students’ Use and Perceptions of Online Mental Health Resources,2,"Drawing from prior fear-appeal and information seeking research, this study explored how self-efficacy, perceived threat, and perceived public stigma predict college students’ use and perceptions of online mental health resources. Results showed that perceived vulnerability was significantly associated with visiting any Internet website and joining an online support group, while self-efficacy predicted greater perceived usefulness and trust for online support groups. Interactions also emerged between self-efficacy and perceived threat, indicating that at higher levels of efficacy those perceiving greater threat would be less likely to use web services and view these resources favorably. Perceived public stigma did not independently predict any of the use or perception outcomes; and only once emerged as a significant moderating factor. Specifically, results showed that efficacy positively predicted trust in Internet sources at high levels of stigma but was unrelated to trust at lower levels of stigma.",Cognition and Health,Health Communication
2014-0006,2014,Paper Session,Testing a Social Cognitive Theory-Based Model of Indoor Tanning: Implications for Health Communication,5,"The lack of a theory-based understanding of indoor tanning is a major impediment to the development of communication campaigns to prevent or reduce this behavior. The recently developed Comprehensive Indoor Tanning Expectations (CITE) scale advances our understanding of outcome expectations in indoor tanning. The current study applies this scale in a survey study of 8 sororities (total N=775). Confirmatory factor analyses indicated the CITE positive and negative expectations were robust, multi-dimensional factors, and that a hierarchical structure fit the data well. A social cognitive theory-based structural equation model demonstrated that appearance motivation variables were associated with outcome expectations, which were in turn associated with intentions to tan indoors. Results also suggested that temptations to tan partially mediate the effects of positive expectations on intention to tan indoors. Implications of these findings for the development of messages to prevent and deter indoor tanning are discussed.",Cognition and Health,Health Communication
2014-0007,2014,Paper Session,Distributed Cognition in Cancer Treatment Decision-Making: An Application of the DECIDE Family Decision-Making Styles Typology,5,"A distributive cognition, or “shared mind” approach, to decision-making is one in which cognitive and affective schemas are shared between two or more people during interpersonal discussion. In the health context, distributive cognition often occurs in cancer treatment decision-making between healthcare professionals, family members, and cancer patients. Extant research focuses on decision-making between healthcare providers and patients; however, the communicative processes of decision-making between family members and patients are understudied. The current manuscript addresses this gap by examining the dialectical tension between patient autonomy and family interdependence in cancer clinical trial (CT) decision-making. We examine this dialectic through (1) patients’ preferences for decisional support with CT decision-making and (2) patients’ perceptions of family preferences for the provision of CT decisional support. Finally, a typology for understanding family health decision-making proposed. The typology is comprised of five family decision-making styles: Independent, Isolated, Collaborative, Delegated, and Demanding. We illustrate this using data drawn from in-depth interviews with rural, Appalachian cancer patients offered a cancer CT for their treatment (N = 46). Implications of the typology for reducing cancer health inequities are discussed.",Cognition and Health,Health Communication
2014-0008,2014,Paper Session,J-Tweeters: Pointing Towards a New Set of Professional Practices and Norms in Journalism,1,"This paper studies the process of normalizing in journalism by examining journalists’ use of Twitter. Who are the active j-tweeters, and how do they use Twitter? And how do the j-tweeters deviate from other journalists on professional practices and norms? The study draws from a representative large-n mail survey of Swedish journalists. The findings indicate that there are large differences in norms and values between the most active j-tweeters and their colleagues related to the “Twitter specific” features of interaction and networking and to the views on personal branding. On the other hand, as the most active j-tweeters do not deviate on core professional values, it appears that Twitter is being normalized in journalism. However, due to the ongoing generational shift in the newsrooms, the views held by the active j-tweeters could lead to a new professional view on journalism in which audience orientation and professional positioning gain importance.",Changing the News 140 Characters At a Time: Twitter's Impact on Journalism,Journalism Studies
2014-0009,2014,Paper Session,The Twitterization of News Making: Transparency and Journalistic Professionalism,1,"Twitter makes visible some of the most fundamental divides in professional journalism today. It reveals tensions about what constitutes news, the norms guiding journalists providing them, their professional identity and relationship to the audience. This article argues that these tensions result from a clash between an institutional logic and an ethic, that is, between the logic of professional control (Lewis, 2012) and the ethic of transparency. Drawing from extensive field research on competing political reporters of a press corps, involving observation, interviews, digital ethnography and content analysis of tweets, this study witnesses the adoption and establishment of Twitter in the everyday life of reporters and thereby also attempts to explain why Twitter won over so many journalists.",Changing the News 140 Characters At a Time: Twitter's Impact on Journalism,Journalism Studies
