session type,session title,sub unit,chair name,chair aff
Paper Session,Meda Coverage of Health Issues,Health Communication,,
Paper Session,Cognition and Health,Health Communication,,
Paper Session,Changing the News 140 Characters At a Time: Twitter's Impact on Journalism,Journalism Studies,,
Paper Session,Media and Political Contestation in Greater China,Global Communication and Social Change,,
Paper Session,Between Science and the Public: Studies in Science Journalism,Journalism Studies,,
Paper Session,"Good Grief! Disasters, Crises, and High-Risk Organizational Environments",Organizational Communication,,
Paper Session,Persuasion in Social Media Contexts,Communication and Technology,,
Paper Session,"Sexting, Sexual Selfies, and Sexism in Social Media Contexts",Communication and Technology,,
Paper Session,News Evaluation and Credibility,Mass Communication,,
Paper Session,Narrative Engagement and Persuasion,Mass Communication,,
Paper Session,Public Understanding of Climate Change: From Misperceptions to Engagement,Environmental Communication,,
Paper Session,"Counterprogramming: Resistance, Satire, Subversion",Popular Communication,,
Paper Session,Outcomes of CSR-Related Initiatives,Public Relations,,
Paper Session,Consumer Behavior and Social Media,Communication and Technology,,
Paper Session,New Perspectives in Interpersonal Communication,Interpersonal Communication,,
Paper Session,Health Message Framing Issues,Health Communication,,
Paper Session,Applications of Health Behavior Change Theory,Health Communication,,
Paper Session,Critical Perspectives in Development Communication,Global Communication and Social Change,,
Paper Session,On Good Authority: Leadership and Expertise in the Workplace,Organizational Communication,,
Paper Session,Mobile Phones and Macro to Micro Behaviors,Communication and Technology,,
Paper Session,Media Structure: Fragmentation and Polarization,Mass Communication,,
Paper Session,Media and Morality,Mass Communication,,
Paper Session,Public Attitudes and Responses to Environmental Messages,Environmental Communication,,
Paper Session,"Relationship, Engagement, and Nonprofit Public Relations",Public Relations,,
Paper Session,Appeals to Young People Through Advertising and Programming,Children Adolescents and Media,Children’s Attitudinal and Behavioral Response to Advergaming: Product Involvement; Evaluating Industry Self-Regulation of Food Marketing to Children: A Longitudinal Study - Dale Kunkel; Portrayals of Bullying on Teen Television: Destined to Deter or Bound to Backfire? - Kimberly R. Walsh; Food Brand Recognition and BMI in U.S. Preschoolers - Kristen Harrison; The New Faces of Leading Characters in Children’s Animated Cartoons - Jobia Keys,Brand Attitude; U of Arizona; Jessica Castonguay; U of California - Santa Barbara; U of Michigan; Jessica D Moorman; Georgia State University
Paper Session,Advances in Family Communication,Interpersonal Communication,,
Paper Session,Team Performance in Online Environments,Communication and Technology,,
Paper Session,Technology and Health Communication,Health Communication,,
Paper Session,Pandemics and the Media,Health Communication,,
Paper Session,Media Systems and Media Markets: Effects on Journalism,Journalism Studies,,
Paper Session,A World of Good: Diversity and Culture in Organizational Communication,Organizational Communication,,
Paper Session,Government Involvement in Communication Technology Networks,Communication and Technology,,
Paper Session,Cultivation Studies in Mass Communication,Mass Communication,,
Paper Session,Identity and Stereotypes in Mass Media,Mass Communication,,
Paper Session,Diverse Media Issues in Intercultural Communication,Intercultural Communication,,
Paper Session,Bodies in Place: Mediated Identities and Intersections,Popular Communication,,
