session type,session title,sub unit,chair name,chair aff
Paper Session,PRECONFERENCE: Global Perspectives on Populism and the Media - Day 2,Sponsored Sessions,,
Paper Session,PRECONFERENCE: Screen Industries in East-Central Europe - Day 2,Sponsored Sessions,,
Paper Session,PRECONFERENCE: Network(ed) Histories (Breakout 2),Sponsored Sessions,,
Paper Session,PRECONFERENCE: Network(ed) Histories (Breakout 1),Sponsored Sessions,,
Paper Session,PRECONFERENCE: Voice and Voices (Breakout 1),Sponsored Sessions,,
Paper Session,PRECONFERENCE: Voice and Voices (Breakout 2),Sponsored Sessions,,
Paper Session,"PRECONFERENCE: Diverse Voices: Authentic Communication, Trust, Dialogue, and Society - Day 2",Sponsored Sessions,,
Paper Session,PRECONFERENCE: Communicating with Machines (Breakout Room),Sponsored Sessions,,
Paper Session,PRECONFERENCE: The Visual Expression of Voice (Breakout Room),Sponsored Sessions,,
Paper Session,PRECONFERENCE: Global Media and Human Rights - Day 2,Sponsored Sessions,,
Paper Session,"Transitions, Transgressions, and Relational Uncertainties",Interpersonal Communication,,
Paper Session,Understanding Determinants of Health Behavior,Health Communication,,
Paper Session,"Seeking, Sharing, and Being Persuaded by Health Information Online",Communication and Technology,,
Paper Session,Research to Inform the Design of Communication Interventions,Health Communication,,
Paper Session,Narratives,Mass Communication,,
Paper Session,Deliberation and Its Effects,Political Communication,,
Paper Session,Understanding Journalism From a Community Perspective,Journalism Studies,,
Paper Session,Selective Exposure and Its Influences,Political Communication,,
Paper Session,Voices From Corporations and Stakeholders in Crisis Communication,Public Relations,,
Paper Session,International Communication and Media Theory,"Philosophy, Theory and Critique",,
Paper Session,Advertising and Consumer Behavior,Mass Communication,,
Paper Session,Editorial Judgment in the New Media Environment,Journalism Studies,,
Paper Session,"Feeling(s) and Presence in New Environments: Smarthome Devices, Avatars, and Augmented/Virtual Reality",Communication and Technology,,
Paper Session,Online Influence: Paying Attention to Ads and Brands Online,Communication and Technology,,
Paper Session,No Filter?: The Powerful Role of Media in Everyday Life,Communication and Technology,,
Paper Session,"Mediating Identities: Race, Class, and Gender",Communication History,,
Paper Session,HIGH-DENSITY: Exploring Production of and Response to Controversial Content,Information Systems,,
Paper Session,"Children, Adolescents and the Media Research Escalator Session",Children Adolescents and the Media,,
Paper Session,Mobile Communication Theory,Mobile Communication,,
Paper Session,Digital Diplomacy,Public Diplomacy,,
Paper Session,HIGH-DENSITY: Evaluating Communication Campaigns and Mechanisms of Effects,Health Communication,,
Paper Session,Media Effects on Health Attitudes and Behaviors,Health Communication,,
Paper Session,Difficult Topics in Health Communication,Health Communication,,
Paper Session,News Effects in Contexts,Mass Communication,,
Paper Session,"Media Use, Interest and Participation",Political Communication,,
Paper Session,Covering Politics: New Political Journalism Research,Political Communication,,
Paper Session,"Advertising, Narratives, and Message Framing",Mass Communication,,
Paper Session,@Journalists on #Twitter,Journalism Studies,,
Paper Session,Insights From Big Data and Quantitative Methodology,Public Relations,,
Paper Session,New Theories and New Models for Thinking About Technology,Communication and Technology,,
Paper Session,Political Expression and Discussion on Social Media,Communication and Technology,,
Paper Session,Social Media Scholarship and the Affordances Approach,Communication and Technology,,
Paper Session,Modern Visual Cultures,Communication History,,
Paper Session,"HIGH-DENSITY: Cognitive Processing, Social Influence, and Social Networks",Information Systems,,
Paper Session,Mobility and Migration,Mobile Communication,,
Paper Session,Queer Alternative Media as Counterpublics and Safe Spaces,"Lesbian, Gay, Bisexual, Transgender and Queer Studies",,
Paper Session,Understanding the Effects of Populist Communication,Political Communication,,
Paper Session,HIGH-DENSITY: Tobacco Warning Label Mechanisms and Effects,Health Communication,,
Paper Session,Contesting Rape Culture: Feminist Explorations of Violence Against Women,Feminist Scholarship,,
Paper Session,Theorizing Privacy Behaviors in Online Spaces,Communication and Technology,,
Paper Session,Improving Healthcare Provider Communication,Health Communication,,
Paper Session,Public Relations: Engaging via Social Media,Public Relations,,
Paper Session,Comment Section: Public Deliberation?,Mass Communication,,
Paper Session,Potpourri of Research on Campaign Communication,Political Communication,,
Paper Session,Journalism Under Attack,Journalism Studies,,
Paper Session,Traditional and New Media Intermediaries,Media Industry Studies,,
Paper Session,Visual and Immersive Technologies in the News: Potentials and Perils,Journalism Studies,,
Paper Session,Visibility and Hiddenness in Organizing Contexts,Organizational Communication,,
Paper Session,The Power of Culture: Differences Across Countries and Similarities Over Time in Internet Practices and Perceptions,Communication and Technology,,
Paper Session,Credibility Assessments in Online Environments,Communication and Technology,,
Paper Session,Network Analysis,Computational Methods,,
Paper Session,"Radio Voices: Cultures, Networks, and Ideologies",Communication History,,
Paper Session,"Anti-Social Scientists, on Some Dark-Side Topics",Game Studies,,
Paper Session,Mobile Innovation and Advertising,Mobile Communication,,
Paper Session,"Suppression and Empowerment: Media, LGBTQ Rights, and Activism","Lesbian, Gay, Bisexual, Transgender and Queer Studies",,
Paper Session,Civic Tech and the Politics of Technology,"Activism, Communication & Social Justice",,
Paper Session,"Power, Resistance, Professonalism, and Internationalization in China's Media Industries",Media Industry Studies,,
Paper Session,Health Communication in Familial Relationships,Health Communication,,
Paper Session,Media and Social Factors in Shaping Alcohol-Related Attitudes and Behaviors,Health Communication,,
Paper Session,The Effects of Incivility and Conflict Framing,Political Communication,,
Paper Session,Propaganda and Information in China,Political Communication,,
Paper Session,"Revisiting the Concept of Media, Public, Effects",Mass Communication,,
Paper Session,"Children, Adolescence, and Parental Mediation",Mass Communication,,
Paper Session,Public Relations Student Top Papers,Public Relations,,
Paper Session,Organizing and Multiple Levels and Types of Identities,Organizational Communication,,
Paper Session,In News We Trust?,Journalism Studies,,
Paper Session,What’s on Your Mind? Political Discussion and News Exposure on Facebook,Communication and Technology,,
Paper Session,"HIGH-DENSITY: Politics, Journalism, Online Discussion, and Fake News!",Communication and Technology,,
Paper Session,Methodological and Theoretical Advances in Understanding the Relationship Between Social Media Use and Mental Health,Communication and Technology,,
Paper Session,"Nation, Narrative, and Histories of News",Communication History,,
Paper Session,Best of Information Systems,Information Systems,,
Paper Session,Top Student Papers in Instructional Communication Division,Instructional & Developmental Communication,,
Paper Session,The Caregiver Context: When Parents and Teachers Matter,Children Adolescents and the Media,,
Paper Session,HIGH-DENSITY: Mobile Social Media and Journalism,Mobile Communication,,
Paper Session,"Homophobia, Homonationalism, and Geopolitics","Lesbian, Gay, Bisexual, Transgender and Queer Studies",,
Paper Session,Top Four Papers in Organizational Communication,Organizational Communication,,
Paper Session,"LSI Research at the Intersection of Voice, Socialization and Culture",Language & Social Interaction,,
Paper Session,Listening to Marginalized Voices to Understand Health Disparities,Health Communication,,
Paper Session,Top Four Papers in Intercultural Communication,Intercultural Communication,,
Paper Session,Top Papers in Intergroup Communication,Intergroup Communication,,
Paper Session,Top Papers in Sports Communication,Sports Communication,,
Paper Session,"Emotion, Media and Psychological Well-Being",Mass Communication,,
Paper Session,EXTENDED SESSION PART 2: Global Communication and Social Change in African Contexts,Global Communication and Social Change,,
Paper Session,Public Relations Faculty Top Papers,Public Relations,,
Paper Session,Top Papers of Communication Law and Policy and Accountability and Diversity as Policy Objectives,Communication Law & Policy,,
