session type,session title,sub unit,chair name,chair aff
Paper Session,Preconference: 7th Annual Doctoral Consortium of the Communication Technology Division Breakout,Sponsored Sessions,,
Paper Session,Preconference: Journalism Studies Graduate Student Colloquium Breakout,Sponsored Sessions,,
Paper Session,Wanna Join? Teams and Clans in Games,Game Studies,,
Paper Session,"News as Text: Narrative, Myth, and Exemplars",Journalism Studies,,
Paper Session,Innovations in Cancer Communication Research,Health Communication,,
Paper Session,"Hashtags, Tweets, and Instagram",Communication and Technology,,
Paper Session,Science and Discourse Studies in Health Communication,Health Communication,,
Paper Session,Perceived Credibility Online,Communication and Technology,,
Paper Session,"Digital Media, Elections, and Politics",Communication and Technology,,
Paper Session,"Contention, Terrorism, and Media",Global Communication and Social Change,,
Paper Session,Audience Connections to Characters,Mass Communication,,
Paper Session,Media Psychology and the Study of Gender-Related Issues,Mass Communication,,
Paper Session,Selective News Exposure and Political Opinions,Political Communication,,
Paper Session,The Power of Dialogue in Public Relations,Public Relations,,
Paper Session,Inside Journalism Organizations,Media Industry Studies,,
Paper Session,Support and Coping in Interpersonal Relationships,Interpersonal Communication,,
Paper Session,"Constructions and Contestations of Gender in Gaming, Retail Ads, Sports Coverage, Prison Dramas, and Pornography",Feminist Scholarship,Gender; Portrayal of Women and Men in Chilean Retail Advertising: Female Stereotypes in a Society With Feminine Character? - William Porath; Dominating the (Female) Incarcerated Body: Gender and Medical Control in Television Prison Dramas - Katherine A Foss; From Cum Shots to Cunnilingus; Calling In Instead of Calling Out: Intergenerational Feminist Praxis in Digital Games Scholarship and Activism - Alison Harvey,Nationalism and Individualism: How Chinese Media Construct Tennis Elite During International Sporting Events - Qingru Xu; Pontificia Universidad Catolica de Chile; Claudia Labarca; Middle Tennessee State U; the Agentic and Objectifying Scripts of Feminist and Mainstream Pornography - Niki Fritz; U of Leicester - Department of Media and Communication; Stephanie Fisher
Paper Session,"Political Discourse, Ideology, and the Media",Political Communication,,
Paper Session,"I Know You Because I Saw You on TV, but Where Am I? Youth, Stereotypes, and Prejudice",Children Adolescents and the Media,Mexican Children’s Understanding of Criminals: A Social Representations Study - Beatriz Elena Inzunza-Acedo; Wanting to See People Like Me? Racial and Gender Diversity in Popular Adolescent Television - Morgan E. Ellithorpe; The Influence of Televised Gender Stereotypes and Counterstereotypes on Girls’ Perceptions of STEM - Bradley J Bond; Media,Universidad de Monterrey; University of Pennsylvania; Amy Bleakley; University of San Diego; Movies
Paper Session,Online and Health Information Seeking: High-Density Panel in Health Communication,Health Communication,,
Paper Session,"Last but Not Least: Why Do We Play? Technical Development, Sexualization, Motivation, and Clans",Game Studies,,
Paper Session,"Journalists and Their Sources: Relationships, Practices, Perceptions",Journalism Studies,,
Paper Session,"Message Design Research: Meta-Analyses, Message/Information Fatigue, Narratives",Health Communication,,
Paper Session,Fighting the Continuum of Violence From Flaming and Street Harassment to Domestic Violence and Rape,Feminist Scholarship,"Speaking ""Unspeakable Things"": Documenting Digital Feminist Responses to Rape Culture - Jessalynn Keller; The Logic of Connective Feminism: Toward an Intersectional Approach to Anti-Street-Harassment Activism - Rosemary Clark; Damaged Women; College Students’ Perceptions of Campus Sexual Assault: A Qualitative Study - Jane O'Boyle; ""Killed out of Love”: Domestic Violence Coverage in Hong Kong - Miriam Hernandez; Experiential Learning Through Documentary Methodology: A Platform for Breaking Down Rape Culture on College Campus - Jennifer Huemmer; Framing; Gamer-Hate and the “Problem” of Women: Finding Feminism - Jennifer Jenson",U of East Anglia; Kaitlynn D Mendes; The Annenberg School for Communication at the University of Pennsylvania; Godlike Men: Rape Mythologies in News Coverage of Bill Cosby and Inder Kumar - Lindsey Erin Blumell; University of South Carolina; Leigh M Moscowitz; City University of Hong Kong; Texas Tech U; Lindsey Erin Blumell; Flaming; York University; Suzanne Christine de Castell
Paper Session,Social Protests and Technology,Communication and Technology,Does Cyber-Proximity Matter? Social Media Network Exposure and Cross-National Protest Diffusion: Evidence From Event History Analysis of Arab Spring 2010—2011 - K. Hazel Kwon; Emotions in an Online Social Movement: A Study of India’s Nirbhaya Protest - Saifuddin Ahmed; Explaining Offline Participation in a Social Movement with Online Data: The Case of Observers for Fair Elections - Olessia Koltsova; Social Media's Effect on Youth Volunteers' Communication & Organizing Behaviors During the Rena Oil Spill - Sarah Lockwood; The Critical Periphery in the Growth of Social Protests - Sandra Gonzalez-Bailon,Arizona State University; University of California; National Research University Higher School of Economics; Galina Selivanova; University of Waikato; Celia Kay Weaver; University of Pennsylvania
Paper Session,Local Journalism: Community and Diversity,Journalism Studies,,
Paper Session,Globalization and Digital Media: Implications for Social Change,Global Communication and Social Change,,
Paper Session,"Media, Conflict, and Violence",Mass Communication,,
Paper Session,Predicting and Explaining Opinion Diversity,Political Communication,,
Paper Session,Experiencing Entertainment,Popular Communication,,
Paper Session,Team Communication and Technologies,Organizational Communication,,
Paper Session,Top Faculty Papers in Public Relations,Public Relations,,
Paper Session,Dating And Romantic Relationships Through Apps,Mobile Communication,,
Paper Session,Communication Law and Policy Conference Theme Session: Communicating With Power in Communication Law and Policy,Communication Law & Policy,,
