session type,session title,sub unit,chair name,chair aff
Paper Session,"Preconference: Populism, Posttruth Politics and Participatory Culture: Interventions in the Intersection of Popular and Political Communication (Wed)",Sponsored Sessions,,
Paper Session,Preconference: Audiences? The Familiar Unkown of Communication Historiography - Breakout,Sponsored Sessions,,
Paper Session,Preconference: Populism Breakout Room,Sponsored Sessions,,
Paper Session,Preconference: Political Communication Division PhD Student Preconference - breakout,Sponsored Sessions,,
Paper Session,"Exemplars, Stereotypes, Stigmas in Media",Mass Communication,,
Paper Session,CAT Interactive Paper Session 2,Communication and Technology,,
Paper Session,"Factors Influencing Health News Content, Exposure, and Effects",Health Communication,,
Paper Session,Censorship & Self Censorship in Authoritarian and Authoritarian Leaning States,Political Communication,,
Paper Session,"Social Media, Interactions, and Relationships",Communication and Technology,,
Paper Session,Social Media in China,Communication and Technology,,
Paper Session,Rethinking Media/Communication Effects,Mass Communication,,
Paper Session,New Research on Agenda Setting and Priming,Political Communication,,
Paper Session,Reporting in a Postfactual Age: Epistemic Challenges in Journalism,Journalism Studies,,
Paper Session,"It's All About the ""Right"" Body: Communication and Media Use Concerning Health and Body Care",Feminist Scholarship,Barbies; An analysis of Iowa Community Leaders’ Discourse; Juggling Risk and Womanhood: How Imperatives of Health and Gender Shape the Experiences of Women With a Positive BRCA Mutation - Amy A. Ross; Feeling Bad Can Be Good?: Audience Research on Korean Reality Makeover Shows Get It Beauty and The Body Show - Jin Lee; Why the Feminine? A Framing Analysis of the Iranian News Reporting on the Fight Against Heterosexual HIV/AIDS Transmission - Kobra Elahifar; Patient Self-Management of Health Conditions: Feminist Approaches to Envisioning CAM as a Healing Modality - Vinita Agarwal; Resisting Essentialism: Proposing a Feminist Approach for Evaluating Communicative Interventions to Reproductive Health - XIYUAN LIU,Goddesses; Governmentality; Northwestern University; Courtney L Scherr; Southern Illinois U; Claire Shinhea Lee; The U of Calgary; Salisbury U; U of Illinois at Chicago
Paper Session,Public Relations Theory Interventions,Public Relations,,
Paper Session,Digital Media Practices and Consequences,Popular Communication,,
Paper Session,Identity and Gender in Organizational Communication,Organizational Communication,,
Paper Session,Features That Shape Exposure and Effects of Smoking-Related Messages,Health Communication,,
Paper Session,Interpersonally Communicating About Mental Health,Interpersonal Communication,,
Paper Session,"CCA & KACA Joint Paper Session: Health and Safety: Emotion, Learning, and Behavior From the Media",Sponsored Sessions,Shuhua Zhou; Eyun-Jung Ki,U of Alabama; U of Alabama
Paper Session,"From Social Media to Traditional Media: Badmouthing, Selfie, Foreign TV, and Burkini",Intercultural Communication,,
Paper Session,"Social Media, Marketing, and Consumer Studies",Communication and Technology,,
Paper Session,"Norms, Values, Biases in News Coverage",Mass Communication,,
Paper Session,Health Communication in the Context of Tobacco (High-Density),Health Communication,,
Paper Session,To Understand Communication and Social Networks I,Information Systems,,
Paper Session,Framing Immigration in Europe,Political Communication,,
Paper Session,"Social Media, Privacy, and Security",Communication and Technology,,
Paper Session,Mobile Apps and Narratives,Communication and Technology,,
Paper Session,Online News and Information Consumption,Mass Communication,,
Paper Session,Revisiting and Revising Theories and Methods,Mass Communication,,
Paper Session,"Politics, Journalism, and Discourses of Modernity",Communication History,,
Paper Session,What Use Are Social Media to Journalists?,Journalism Studies,,
Paper Session,Technological Challenges and Innovations in Journalism,Journalism Studies,,
