paper id,paper title,year,author number,author position,author name,author aff
2014-0000,Strike a Pose! How Pose and Expression in Online Profile Pictures Affect Impressions of Interpersonal Attraction and Intelligence,2014,4,1,Alexander Peter Schouten,Tilburg U
2014-0000,Strike a Pose! How Pose and Expression in Online Profile Pictures Affect Impressions of Interpersonal Attraction and Intelligence,2014,4,2,Margot Heerkens,Tilburg U
2014-0000,Strike a Pose! How Pose and Expression in Online Profile Pictures Affect Impressions of Interpersonal Attraction and Intelligence,2014,4,3,Inez Veringa,Tilburg U
2014-0000,Strike a Pose! How Pose and Expression in Online Profile Pictures Affect Impressions of Interpersonal Attraction and Intelligence,2014,4,4,Marjolijn L. Antheunis,Tilburg University
2014-0001,Negative Hyperpersonal Intensification Effects of Religiosity in E-Mail Signature Blocks,2014,1,1,Caleb T. Carr,Illinois State University
2014-0002,Counting on Friends: Cues to Trustworthiness in Facebook Profiles,2014,1,1,Catalina Laura Toma,University of Wisconsin-Madison
2014-0003,Determining Attraction of Online Dating Site Profiles,2014,3,1,Alexander Peter Schouten,Tilburg U
2014-0003,Determining Attraction of Online Dating Site Profiles,2014,3,2,Marjolijn L. Antheunis,Tilburg University
2014-0003,Determining Attraction of Online Dating Site Profiles,2014,3,3,Saskia Kanters,Tilburg U
2014-0004,Comparing Levels of Mediatization in Television Journalism: An Analysis of Political Reporting on U.S. and UK Evening News Bulletins,2014,1,1,Stephen Cushion,Cardiff U - JOMEC
2014-0005,Hyperlinking Practices in Swedish Online News 2007-2013,2014,2,1,Michael B. Karlsson,Karlstad U
2014-0005,Hyperlinking Practices in Swedish Online News 2007-2013,2014,2,2,Henrik Ornebring,Karlstad U
2014-0006,When Reporters Disbelieve: Searching for Predictors of Journalistic Cross-Verification,2014,2,1,Yigal Godler,Ben Gurion University
2014-0006,When Reporters Disbelieve: Searching for Predictors of Journalistic Cross-Verification,2014,2,2,Zvi Reich,Ben-Gurion U of the Negev
2014-0007,"Print is Future, Online is Past: Cross-Media Analysis of Temporal Orientations in the News",2014,2,1,Keren Tenenboim-Weinblatt,Hebrew U of Jerusalem
2014-0007,"Print is Future, Online is Past: Cross-Media Analysis of Temporal Orientations in the News",2014,2,2,Motti Neiger,Netanya Academic College
2014-0008,Adolescents’ Use of Social Networking Sites: Mass Media Appearance Ideals and an Objectified Self-Concept,2014,2,1,Laura Vandenbosch,U of Leuven - School for Mass Communication Research
