Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2003-0001,Access to the Media Versus Access to Audiences: The Distinction and its Implications for Media Regulation and Policy,1,1,Philip Napoli,Fordham U
2003-0002,Accounting Episodes as Communicative Practice Affecting Cultural Knowledge,1,1,Mariko Kotani,Aoyama Gakuin University
2003-0003,Accounts of Single-fatherhood: A case study,4,1,Tara M Emmers-Sommer,University of Arizona
2003-0003,Accounts of Single-fatherhood: A case study,4,2,David Rhea,University of Arizona
2003-0003,Accounts of Single-fatherhood: A case study,4,3,Laura Triplett,University of Arizona
2003-0003,Accounts of Single-fatherhood: A case study,4,4,Bell O'Neill,Ohio State University
2003-0004,A Challenge to the Duel: Socializing Dedicated Virtual Reality Fans to the Ideology of Textualism,1,1,Chad Tew,U of San Diego
2003-0005,"A chatroom ethnography: Evolution of community, norms, nonverbal communication",1,1,Audra Diers,Washburn U
2003-0006,A Communicative Approach to Road Rage: Accounts of Driving and Retaliation,4,1,Daniel J. Canary,Arizona State University
2003-0006,A Communicative Approach to Road Rage: Accounts of Driving and Retaliation,4,2,Alan C. Mikkelson,Arizona State University
2003-0006,A Communicative Approach to Road Rage: Accounts of Driving and Retaliation,4,3,Frank Switzer,Arizona State University
2003-0006,A Communicative Approach to Road Rage: Accounts of Driving and Retaliation,4,4,Carrie Bailey,Arizona State University
2003-0007,A Content Analysis of Direct Marketing Emails,2,1,Yan Jin,U of Missouri
2003-0007,A Content Analysis of Direct Marketing Emails,2,2,Glen T. Cameron,U of Missouri
2003-0008,"A content analysis of news coverage of skin cancer prevention and detection, 1979-2002",2,1,Jo Stryker,Harvard School of Public Health
2003-0008,"A content analysis of news coverage of skin cancer prevention and detection, 1979-2002",2,2,Benjamin A Solky,"Department of Dermatology, Harvard Medical School"
2003-0009,"A cross-cultural comparison of the relationship between ICA, ICMS and assertiveness/cooperativeness tendencies",1,1,Jongbae Hong,Southern Illinois U - Carbondale
2003-0010,"""Activism in Paradise"": A Critical Discourse Analysis of a Public Relations Campaign against Genetic Engineering",1,1,Alison M. Henderson,University of Waikato
2003-0011,Adapting and Extending the Technology Acceptance Model in Globally Linked PR Classes,3,1,Tom Kelleher,U of Hawaii
2003-0011,Adapting and Extending the Technology Acceptance Model in Globally Linked PR Classes,3,2,Michelle O'Malley,Kansas State University
2003-0011,Adapting and Extending the Technology Acceptance Model in Globally Linked PR Classes,3,3,Mi-Young Oh,Silla University
2003-0012,A Dialectic With the Everyday: Communication & Cultural Politics on Oprah Winfrey's Book Club,1,1,Theodore Striphas,Ohio University
2003-0013,Adolescent girls and media culture: Unpacking the politics of pleasure,1,1,Meenakshi Gigi Durham,U of Iowa
2003-0014,Ad Repetition and Variation in a Competitive Ad Context,1,1,Chingching Chang,National Chengchi University
2003-0015,Advantage ISP: Terms of Service as Media Law,2,1,Sandra Braman,U of Wisconsin-Milwaukee
2003-0015,Advantage ISP: Terms of Service as Media Law,2,2,Stephanie Lynch,U of Alabama
2003-0016,Advice to Practitioners: A Review of the Popular Press Literature on Planned Change Communication,4,1,Laurie K. Lewis,University of Texas - Austin
2003-0016,Advice to Practitioners: A Review of the Popular Press Literature on Planned Change Communication,4,2,Keri K. Stephens,U of Texas - Austin
2003-0016,Advice to Practitioners: A Review of the Popular Press Literature on Planned Change Communication,4,3,Amy M. Schmisseur,U of Texas at Austin
2003-0016,Advice to Practitioners: A Review of the Popular Press Literature on Planned Change Communication,4,4,Kathleen E. Weir,University of Texas at Austin
2003-0017,"Affective-News Theory: Effects of Narrative Structure on Suspense, Curiosity, and Enjoyment While Reading News and Novels",2,1,Silvia Knobloch,Dresden U of Technology
2003-0017,"Affective-News Theory: Effects of Narrative Structure on Suspense, Curiosity, and Enjoyment While Reading News and Novels",2,2,Francesca Dillman Carpentier,Arizona State University
2003-0018,A field test of equivocation theory: Apologies by Canadian churches to indigenous people,1,1,Janet Bavelas,University of Victoria
2003-0019,A Frog in a Well: People's Daily and its Geographic Landscape,2,1,Danielle Chen,Fudan University
2003-0019,A Frog in a Well: People's Daily and its Geographic Landscape,2,2,Xiaoying Yan,"Fudan University, Shanghai, PR China"
2003-0020,A Functional Approach to Political Advertising,2,1,Cheolhan Lee,University of Missouri at Columbia
2003-0020,A Functional Approach to Political Advertising,2,2,Yun Jung Choi,University of Missouri - Columbia
