Paper ID,Title,Session,Session Division,Individual Division,Session SubDivision,Sumission Type,Title to Check,Session to Check,Abstract
2005-1,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,Campaign Communications: A Look at the Old and the New,Political Communication,,,Paper,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,Campaign Communications: A Look at the Old and the New,"The Great Debates between Senator John Kennedy and Vice President Richard Nixon were unprecedented. The prevailing history of the decisive first debate on September 26, 1960, holds that Kennedy prevailed, in large part due to Nixons dismal appearance on the television screen. To demonstrate that the visual elements were decisive, commentators often refer to sample surveys or polls conducted after the debate. According to these accounts, television viewers who had seen the debate thought Kennedy the winner, whereas radio listeners who listened to the debate thought Nixon had prevailed. While the actual empirical evidence supporting this claim is thin, the viewer-listener story has been told so many times that is has become an accepted part of American political lore. This paper, an analysis of 567 articles appearing in the New York Times since September 1960, charts the collective memory of this seminal political event. Through a content analysis of these stories, the paper argues that the dominant account of the decisive first debate has gradually evolved from a narrative that highlighted the qualities of presidential leadership into a narrative stressing the importance of personal appearance. In the process, the 1960 presidential debates have been recast to service the broader claim that image inevitably triumphs over substance in political campaigns."
2005-51,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,Cognitive and Physiological Approaches to Understanding Advertising,Information Systems,,,Paper,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,Cognitive and Physiological Approaches to Understanding Advertising,"The overriding purpose for this paper was to investigate brand image positioning of ten existing and most popular perfume/cologne brands among a young consumer market represented by a college student sample in relation to self-congruity (e.g. actual self image vs. ideal brand image). Our findings indicate significant personality characteristics valued by young consumer market (i.e. trendy and wholesome). This market has healthy self-concept, which was made salient by having self image and ideal brand image positioned in the same optimal region of positioning. Successful brands among this market are those manage to project the congruent personality images as desired by the young consumer market. Significant managerial implications for advertising practitioners and brand managers are also included."
2005-101,Analyzing Talk of Intimates: The Real and Reel-Life Couples Communication Styles,"Language, Meaning, and Understanding",Interpersonal Communication,,,Paper,Analyzing Talk of Intimates: The Real and Reel-Life Couples Communication Styles,"Language, Meaning, and Understanding","The study is an exploratory research on intimate talk and an attempt at analyzing real and reel couples. It aimed to investigate the characteristics of and to provide a comparison of real Filipino (married couples) and reel (Filipino couples in romance novels) couples. The study found out that the structure and linguistic (e.g., grammatical, syntactic and semantic style) of the dialogues between real and reel couples differed  real couples talk is oralin nature  e.g., with shorter words in a sentence, while reel couples in the novels talk the way the writers wanted them to express -- in more narrative, lengthier, repetitive style for emphasis and reinforcement of their thoughts and ideas in the readers minds

Using Miller, et al.s communication styles framework, a general trend has been found that style 1, followed by style 3 then by style 2 is what characterizes talk between reel and real couples. This somewhat indicates that talk in romance novels parallel the style of talk in real-life situations.

In terms of the content of the talk, the study found that both real and reel couples talked about topic messages more than relationship-messages (relationship-messages were least of all the message types for both real and reel couples). This brings to mind that perhaps both in real and reel life, there is more to intimate talk than talking about intimate or very private matters.
."
2005-151,"""Are you talking to me?"": The effect of direct address on viewer attention and arousal",Physiological Methods and the Media: A High Density Panel,Information Systems,,,Extended Abstract,"""Are you talking to me?"": The effect of direct address on viewer attention and arousal",Physiological Methods and the Media: A High Density Panel,"One key to understanding the popularity of reality television may not be the content of the programs (i.e., what is shown), but the formal features of the programs (i.e., how the content is shown). One feature common to most reality television programs is direct address, where characters on the program gaze directly into the camera and, in essence, speak directly to the viewer at home. Previous research has shown that the use of this feature in other programming genres has the ability to affect how viewers rate a program's content. Moreover, research has also shown that this feature has the potential to foster stronger parasocial bonds between viewers and the characters on screen. Using both self-report and psychophysiological measures, this study examines the effect of this feature on viewers' attention and emotional response to this feature."
2005-201,Beyond Intrinsic and Extrinsic Motivations: Internalized Extrinsic Motivation in the Promotion of Learning Among Primary School Students,Top Four Papers in Instructional Communication,Instructional & Development Communication,,,Paper,Beyond Intrinsic and Extrinsic Motivations: Internalized Extrinsic Motivation in the Promotion of Learning Among Primary School Students,Top Four Papers in Instructional Communication,"Motivating is essentially a communicative process. Researchers have previously attributed learning to either intrinsic or extrinsic motivations and provided teachers with many guidelines in promoting learning in school. However it is still widely documented that while children are highly interested in learning and intrinsically motivated when they enter primary school, their motivation in learning declined steadily from the 3rd grade to the 8th grade.

This paper critically examines the existing dialogue among theorists on the respective merits of intrinsic and extrinsic motivation and identifies a set of causes of students declining interests in learning. More importantly, this paper points out the previously neglected concept of internalized motivation and proposes a longitudinal experiment to explore the effect of internalized motivation on learning."
2005-251,Characteristics and Motives of Adolescents Talking with Strangers on the Internet and its Consequences,"x, Lies, and Video Games: The Influence of Television, the Internet, and Video Games on Teens",Instructional & Development Communication,,,Paper,Characteristics and Motives of Adolescents Talking with Strangers on the Internet and its Consequences,"Sex, Lies, and Video Games: The Influence of Television, the Internet, and Video Games on Teens","Despite widespread concerns about the dangers of adolescents' online communication with strangers, we know little about (a) which types of adolescents talk with strangers; (b) what motivates them to do so; and (c) what consequences this has for romantic relationship formation. Drawing on a survey among 490 adolescents, we found a nonlinear age effect, indicating that early adolescents (12- to 14-year-olds) were most prone to talk with strangers on the Internet. In contrast to earlier research, introversion was not related to adolescents tendency to talk with strangers. The motives of entertainment, meeting new people, and social compensation increased adolescents' online communication with strangers. Adolescents online communication with strangers did not enhance their probability to establish online romantic relationships."
2005-301,Communication Patterns and Civic Life on the Internet in Korea,Political Communication Division Interactive Paper Session,Political Communication,,,Paper,Communication Patterns and Civic Life on the Internet in Korea,Political Communication Division Interactive Paper Session,"This study investigated the two relationships between communication patterns and civic virtues, and between civic virtues and political participation on the Internet. Unlike real world communication, the Internet space can reduce the influence of hierarchical communication structure and social prejudices on sex, income, or education. The anonymity on the Internet encourages freedom of expression and thoughts.
Through questionnaire survey conducted to Korean university students, the paper looked at the level of human expression and reception on the Internet. This study considered online writing as the human expression of speaking, and online reading as the human reception of listening. Based on the level of expression and reception on the Internet, this paper divided survey respondents into four groups.
The result of the survey showed that two groups with higher level of writing displayed more individuality, i.e. willingness to express. On the other hand, two other groups with higher level of reading manifested more civility, i.e. readiness to hear other people's opinions. However, the participation level on the Internet was higher in balanced two groups of writing and reading than other unbalanced groups.
The survey concluded that writing and reading on Internet is equally important to civic virtues. While writing, the expressive function of communication, is related with individual aspect, reading, the receptive function of communication, is related with communal aspect. People who exercised both writing and reading were more likely to be highly participating citizens on Internet."
2005-351,Cosmetic Surgery in Action: Communication Challenges for Plastic Surgeons,Top Three Papers in Language and Social Interaction,Language & Social Interaction,,,Paper,Cosmetic Surgery in Action: Communication Challenges for Plastic Surgeons,Top Three Papers in Language and Social Interaction,"This essay investigates the communication challenges that a plastic surgeon experienced in the course of an encounter with a 74-year-old woman seeking aesthetic surgery, including rhinoplasty and rhytidectomy. Right after coming out from this encounter, the plastic surgeon reported hat he had a very difficult time with the patient. What made this moment communicatively difficult and how these challenges were manifested in interaction is the analytical focus of this essay. Drawing upon a 60-minute videotaped encounter between the doctor and the patient as well as a 60-minute videotaped session with the cosmetic surgeon about this moment, the paper describes five communication challenges that the plastic surgeon faced in the interactional moment. They include: (a) grasping the patients reasons for the visit, (b) seeing what the patient sees, (c) being face-attentive when the body does not lie, (d) handling self-deprecating remarks, and (e) managing patient-initiated requests."
2005-401,Deliberative Learning: Processes and Effects of Civic Education,Top Four Papers in Instructional Communication,Instructional & Development Communication,,,Paper,Deliberative Learning: Processes and Effects of Civic Education,Top Four Papers in Instructional Communication,"This paper conducts an analysis of long-term influence of the Kids Voting curriculum as taught to high school students in Arizona, Colorado, and Florida. We test a model of adolescent development by applying the perspective of deliberative democracy to civic learning. We also explore the differential effects of curriculum components to identify the most consequential learning experiences. Data are derived from a panel study of student-parent dyads interviewed after the 2002 intervention and again one year later. Kids Votings immediate effects were systematic across multiple dimensions of media use and cognition, discussion, and opinions and behavior. One year later, curriculum effects persisted in news attention, issue salience, encouraging parents to pay attention to news, multiple dimensions of discussion, and partisan identification. In a majority of the indicators, the curriculum influence was actually stronger one year later, suggesting that Kids Voting prepares adolescents for long-term receptivity to political stimulation."
2005-451,Discord and Religious Identity: News Framing of Muslims in the Kashmir Conflict,Covering Conflict and Peace,Intercultural & Development Communication,,International & Development Communication,Paper,Discord and Religious Identity: News Framing of Muslims in the Kashmir Conflict,Covering Conflict and Peace,"For the past five decades (and more) the state of Jammu and Kashmir has been a territory of contention between India and Pakistan. The history of the conflict dates back to the period of British rule in the sub-continent and the consequent creation of India and Pakistan as separate national entities.
News media in India and Pakistan frame the conflict as a territorial dispute, and in terms of differential religious and political ideologies in India and Pakistan; media in both countries tend to reflect the hegemonic ideals of their ruling classes. The focus of the conflict has changed over the years in each of the above dimensions: the religious angle in particular is interesting given that both countries now have right wing governments whose ideologies are sometimes classified as fundamentalist.
This paper examines the conflict in Kashmir from a religious perspective. Given the growing popularity of a Hindutva ideology and increasing communal tensions within the country, the study asks how Muslims in Kashmir, Pakistan, and India are framed with regard to the conflict. Content analysis has been used to identify news framing patterns of Muslims. Results indicate that Indian newspapers do indeed focus more on Muslims than Hindus and that news frames of Muslims tend to be a lot more negative than positive. Implications of such framing patterns are discussed with regard to the nature of communal relations (between Hindus and Muslims) in India."
