Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,1,Tae Joon Moon,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,2,Jonathan D'Angelo,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,3,Stephanie Tsang,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,4,Yangsun Hong,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,5,Mina Choi,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,6,Shawnika Jeanine Hull,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,7,Dhavan Shah,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,8,Fiona M. McTavish,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,9,David H Gustafson,U of Wisconsin
2013-1001,Letting Go of Superwoman: Embodying the Mother-Child Dyad,1,1,Beth Lee Sundstrom,College of Charleston
2013-1051,Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,2,1,Wan-Ying Lin,City U of Hong Kong
2013-1051,Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,2,2,Xinzhi Zhang,City U of Hong Kong
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,3,1,Penelope Helen Sheets,U of Amsterdam
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,3,2,Linda Bos,U of Amsterdam
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,3,3,Hajo Boomgaarden,U of Amsterdam
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,3,1,Maddalena Fiordelli,U of Lugano
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,3,2,Nicola Diviani,U della Svizzera italiana
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,3,3,Peter J. Schulz,U della Svizzera Italiana
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",3,1,Young Min Baek,Yonsei U
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",3,2,Eun-Mee Kim,Seoul National U of Technology
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",3,3,Young Bae,Soongsil U
2013-1251,News Media Use and the Informed Public in the Digital Age,7,1,Michael Andrew Xenos,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,2,Dietram A. Scheufele,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,3,Dominique Brossard,U of Wisconsin
2013-1251,News Media Use and the Informed Public in the Digital Age,7,4,Doo-Hun Choi,U of Wisconsin
