Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2009-0001,100 World Trade Center Bombings in Darfur Sudan: Ownership Structure and Functions of the Press in a Globalizing World,2,1,Bella Mody,U of Colorado - Boulder
2009-0001,100 World Trade Center Bombings in Darfur Sudan: Ownership Structure and Functions of the Press in a Globalizing World,2,2,Linda J. Hofschire,
2009-0002,11:30 a.m. - 12:30 p.m. Debriefing of morning groups,1,1,Lois Foreman-Wernet,Capital U
2009-0003,12:30 - 1:30 p.m. Lunch,1,1,Brenda Dervin,Ohio State U
2009-0004,"1:30 - 3:30 p.m. Afternoon Group Session #10: Social and critical theory (B)  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,Ed McLuskie,Boise State U
2009-0005,"1:30 - 3:30 p.m. Afternoon Group Session #6: Audience reception  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,David J. Schaefer,Franciscan U - Steubenville
2009-0006,"1:30 - 3:30 p.m. Afternoon Group Session #7: Spirituality, faith, and communication  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,Kathleen D. Clark,U of Akron
2009-0007,"1:30 - 3:30 p.m. Afternoon Group Session #8: Pedagogy as communication  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,John W. Higgins,Menlo College
2009-0008,"1:30 - 3:30 p.m. Afternoon Group Session #9: Knowledge sharing and management  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,Molly Martin,Seattle Times
2009-0009,3:30 - 4:30 p.m. Debriefing of afternoon groups,1,1,Albert Linderman,Sagis Corporation
2009-0010,4:30 - 5:30 p.m. Closing comments,1,1,Brenda Dervin,Ohio State U
2009-0011,8:00 - 8:30 a.m. Introduction: Purpose and procedures for the workshop,2,1,Lois Foreman-Wernet,Capital U
2009-0011,8:00 - 8:30 a.m. Introduction: Purpose and procedures for the workshop,2,2,Albert Linderman,Sagis Corporation
2009-0012,"8:30 - 9:30 a.m. Keynote Session. Communicating as if communication matters: How Dervins Sense-Making Methodology reaches beyond media and messages, context and content",1,1,Brenda Dervin,Ohio State U
2009-0013,"9:30 - 11:30 a.m. Morning Group Session #1: Information seeking and use  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,Brenda Dervin,Ohio State U
2009-0014,"9:30 - 11:30 a.m. Morning Group Session #2: Health communication  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,Patricia Kelly,University of Tasmania
2009-0015,"9:30 - 11:30 a.m. Morning Group Session #3: Organizational communication  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,Linda Schamber,U Of North Texas
2009-0016,"9:30 - 11:30 a.m. Morning Group Session #4: Online communication  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,CarrieLynn D. Reinhard,Roskilde U
2009-0017,"9:30 - 11:30 a.m. Morning Group Session #5: Social and critical theory (A)  Applying Dervins Sense-Making Methodology to metatheory, research, and design",1,1,Peter Shields,Eastern Washington U
2009-0018,A Birth of Bureaucratic Organizational Culture in Early Korean Broadcasting,3,1,Misook Baek,"Research Professor, Department of Communication, Seoul National University"
2009-0018,A Birth of Bureaucratic Organizational Culture in Early Korean Broadcasting,3,2,Myungkoo Kang,Seoul National U
2009-0018,A Birth of Bureaucratic Organizational Culture in Early Korean Broadcasting,3,3,Sungmin Lee,Seoul National U
2009-0019,A Brown Womans Standpoint: Feminist Standpoint Theory and the Search for Voice in American Academia,1,1,Suchitra Shenoy,DePaul University
2009-0020,Academic Internet Use: Issues and Lessons in e-Research,1,1,Han Woo PARK,YeungNam U
2009-0021,Academic vs. Professional Education: Epistmology and Journalism Educator's Academic Work,1,1,Patty Jo Wharton-Michael,U of Pittsburgh - Johnstown
2009-0022,A Chinese Folk Theory of Social Influence: Cultivating Moral Values in High Schools in Contemporary China,1,1,Yanrong Chang,U of Texas - Pan American
2009-0023,A Cognitive Processing Explanation of the Disrupt-Then-Reframe Compliance Gaining Technique,2,1,Christopher John Carpenter,Michigan State U
2009-0023,A Cognitive Processing Explanation of the Disrupt-Then-Reframe Compliance Gaining Technique,2,2,Franklin J. Boster,Michigan State U
2009-0024,"A Communication Competence Approach to Examining Healthcare Worker Conflict, Social Support, Stress, Burnout, and Job Satisfaction.",3,1,Kevin B. Wright,U of Oklahoma
2009-0024,"A Communication Competence Approach to Examining Healthcare Worker Conflict, Social Support, Stress, Burnout, and Job Satisfaction.",3,2,Daniel Bernard,U of Oklahoma
2009-0024,"A Communication Competence Approach to Examining Healthcare Worker Conflict, Social Support, Stress, Burnout, and Job Satisfaction.",3,3,John A. Banas,U of Oklahoma
2009-0025,A Comparative Study of the N-Generations Mobile Phone Use: Between the U.S. and Korean Society,1,1,Sun Kyong Lee,Rutgers U
2009-0026,"A Comparison of Gender Role Portrayals in Magazine Advertisements From Germany, Poland, and the United States",2,1,Malgorzata Skorek,U of California - Merced
2009-0026,"A Comparison of Gender Role Portrayals in Magazine Advertisements From Germany, Poland, and the United States",2,2,Margrit Schreier,International U Bremen
2009-0027,A Critical Cultural Analysis of YouTube: Power and Control in a Web 2.0 Interface,2,1,Luc Pauwels,U of Antwerp
2009-0027,A Critical Cultural Analysis of YouTube: Power and Control in a Web 2.0 Interface,2,2,Patricia Hellriegel,Lessius University College
2009-0028,A Cross-Cultural Approach to Serial Arguing in Dating Relationships: The Case of Malagasy Romantic Partners,1,1,Marie Louise Radanielina Hita,Washington State U
2009-0029,A Cross-Cultural Comparison of Corporate Social Responsibility Practices in America and China,3,1,Christine Ray,
2009-0029,A Cross-Cultural Comparison of Corporate Social Responsibility Practices in America and China,3,2,Lu Tang,U of Tennessee - Knoxville
2009-0029,A Cross-Cultural Comparison of Corporate Social Responsibility Practices in America and China,3,3,Michelle T. Violanti,U of Tennessee
2009-0030,A Cross-Level Theory of Media Effects: How the Economy Conditions Political Learning,1,1,Fei Chris Shen,City University of Hong Kong
2009-0031,A Crowded Newsroom: Social Capital and Deliberative Decision-Making on Wikipedia,1,1,Brian Keegan,Northwestern University
2009-0032,Action Tendency Emotions Evoked by Memorable Breast Cancer Messages and their Association with Prevention and Detection Behaviors,8,1,Sandi Smith,Michigan State U
2009-0032,Action Tendency Emotions Evoked by Memorable Breast Cancer Messages and their Association with Prevention and Detection Behaviors,8,2,Lauren Melissa Hamel,Michigan State U
2009-0032,Action Tendency Emotions Evoked by Memorable Breast Cancer Messages and their Association with Prevention and Detection Behaviors,8,3,Michael R. Kotowski,U of Tennessee
2009-0032,Action Tendency Emotions Evoked by Memorable Breast Cancer Messages and their Association with Prevention and Detection Behaviors,8,4,Samantha Munday Nazione,Michigan State U
2009-0032,Action Tendency Emotions Evoked by Memorable Breast Cancer Messages and their Association with Prevention and Detection Behaviors,8,5,Charles Atkin,Michigan State U - Department of Communication
