Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2008-0001,A 10-Year Systematic Review of HIV/AIDS Mass Communication Campaigns: Have We Made Progress?,5,1,Seth M. Noar,U of Kentucky
2008-0001,A 10-Year Systematic Review of HIV/AIDS Mass Communication Campaigns: Have We Made Progress?,5,2,Philip Palmgreen,U of Kentucky
2008-0001,A 10-Year Systematic Review of HIV/AIDS Mass Communication Campaigns: Have We Made Progress?,5,3,Melissa Chabot,U of Kentucky
2008-0001,A 10-Year Systematic Review of HIV/AIDS Mass Communication Campaigns: Have We Made Progress?,5,4,Rick S. Zimmerman,U of Kentucky
2008-0001,A 10-Year Systematic Review of HIV/AIDS Mass Communication Campaigns: Have We Made Progress?,5,5,Nicole Dobransky,U of Kentucky
2008-0002,"ABC, Agnew, and Richard Nixon's War on Network Television News",2,1,Dale L. Cressman,Brigham Young U
2008-0002,"ABC, Agnew, and Richard Nixon's War on Network Television News",2,2,Lane Williams,Brigham Young U
2008-0003,Above the Influence: Development of a Brand to Reach Youth at the Moment of Decision About Drug Use,1,1,Robert W. Denniston,office of National Drug Control Policy
2008-0004,"A Brunswikian Lens Model Approach for Automatic, Multimodal Deception Detection",3,1,Judee K. Burgoon,U of Arizona
2008-0004,"A Brunswikian Lens Model Approach for Automatic, Multimodal Deception Detection",3,2,Matthew Jensen,U of Arizona
2008-0004,"A Brunswikian Lens Model Approach for Automatic, Multimodal Deception Detection",3,3,Thomas Meservy,U of Arizona
2008-0005,Abstracting the Real City,2,1,Zeynep Tanes,Purdue U
2008-0005,Abstracting the Real City,2,2,Zeynep Cemalcilar,Koc U
2008-0006,"A case study of the Red Lake, MN school shooting: Intercultural leaning in the renewal process",4,1,Robert Littlefield,North Dakota State U
2008-0006,"A case study of the Red Lake, MN school shooting: Intercultural leaning in the renewal process",4,2,Cheryl Long Feather,United Tribes Technical College
2008-0006,"A case study of the Red Lake, MN school shooting: Intercultural leaning in the renewal process",4,3,Kimberly Cowden,North Dakota State U
2008-0006,"A case study of the Red Lake, MN school shooting: Intercultural leaning in the renewal process",4,4,Jennifer Reierson,North Dakota State U
2008-0007,Acceptance of Third-Generation (3G) Mobile Services in Singapore: Decomposing Perceived Critical Mass and Subjective Norms * (TOP FACULTY PAPER IN CAT),1,1,Hichang Cho,National U - Singapore
2008-0008,Access to Broadcasting: Community Radio and Radio Communities,1,1,Kate Coyer,Central European U/U of Pennsylvania
2008-0009,Access to the News Media: Right of Reply in Comparative Law,1,1,Kyu Ho Youm,U of Oregon
2008-0010,Accommodating the Nations: Cultural Citizenship in Monsoon Wedding,1,1,Sreela Sarkar,U of Massachusetts - Amherst
2008-0011,Accounting as Organizing Through Communicating: Calculating the Budget as a Complex Speech Act,2,1,Bertrand Fauré,"U of Toulouse III, France"
2008-0011,Accounting as Organizing Through Communicating: Calculating the Budget as a Complex Speech Act,2,2,James R. Taylor,U de Montreal
2008-0012,Aceh Besar Midwives With Mobile-Phones Project,1,1,Arul Chib,Nanyang Technological U
2008-0013,A Cognitive Model for Understanding Online Gaming Addiction: A Preliminary Test in China,2,1,Ming Liu,
2008-0013,A Cognitive Model for Understanding Online Gaming Addiction: A Preliminary Test in China,2,2,Wei Peng,Michigan State U
2008-0014,A Communication Model for the Competent Delivery of Geriatric Medicine,2,1,Jon F. Nussbaum,Pennsylvania State U
2008-0014,A Communication Model for the Competent Delivery of Geriatric Medicine,2,2,Carla Fisher,Pennsylvania State U
2008-0015,A Communication Model of Employee Cynicism Toward Organizational Change,1,1,Yuxia Qian,Ohio U
2008-0016,A Comparative Analysis Between Muslim and Non-Muslim Self-Construals and Conflict Styles in France and Britain,5,1,Stephen Michael Croucher,Bowling Green State U
2008-0016,A Comparative Analysis Between Muslim and Non-Muslim Self-Construals and Conflict Styles in France and Britain,5,2,Ian M Borton,Bowling Green State U
2008-0016,A Comparative Analysis Between Muslim and Non-Muslim Self-Construals and Conflict Styles in France and Britain,5,3,Deepa Oommen,Bowling Green State U
2008-0016,A Comparative Analysis Between Muslim and Non-Muslim Self-Construals and Conflict Styles in France and Britain,5,4,Jacob Stephen Turner,Bowling Green State U
2008-0016,A Comparative Analysis Between Muslim and Non-Muslim Self-Construals and Conflict Styles in France and Britain,5,5,Samara Anarbaeva,Bowling Green State U
