Paper ID,Title,Session,Division/Unit,Sumission Type,Research Areas,Title to Check,Session to Check,Abstract
2013-0001,2D vs. 3D: The Effects of Additional Dimension in Visual Field on Information Processing,Message Processing and Persuasion,Information Systems,Extended Abstract,,2D vs. 3D: The Effects of Additional Dimension in Visual Field on Information Processing,Message Processing and Persuasion,"Visual information is believed to be processed automatically, using small amount of cognitive resources (Lang, Potter, & Bolls, 1999). This study explores how change in dimension (2D vs. 3D) affects the cognitive load on individuals. Based on the limited capacity model of motivated mediated message processing, or LC4MP (Lang, 2006), an experiment has been designed using video clips varying in its density of structural features and levels of arousing content. The results provides general support for LC4MP, suggesting that additional dimension in the visual field provided by 3D technology do increase the cognitive load in processing mediated messages. To date, this project has collected data from 21 subjects, and will complete with additional forty or more (total N > 60) by ICA 2013."
2013-0051,"Aggressive, Combative, and Aggression-Free: Assessing the Validity of the Relational Control- Motivated Aggression Perspective and Violent Couple Typology",High Density: The Dark Side of Interpersonal,Interpersonal Communication,Paper,,"Aggressive, Combative, and Aggression-Free: Assessing the Validity of the Relational Control- Motivated Aggression Perspective and Violent Couple Typology",High Density: The Dark Side of Interpersonal,"The purpose of the present study was to test the construct validity of the Relational Control-Motivated Aggression perspective (RCMA) and corresponding four couple types (Olson, 2004) to determine if the theoretical model was an empirically sound way of identifying different types of aggressive couples. Five hundred and ninety-two individuals completed an online survey instrument. In general, results revealed significant relationships in the expected directions between couple types and relational control, power, trait verbal aggressiveness, and relational happiness. The dimensional approach to relational control was also supported and provided an additional mechanism for further discerning patterns across violent couple types. Thus, the findings from this study support many of the basic structures of the RCMA, namely the control dimensions and several couple types. Theoretical and practical implications are discussed."
2013-0101,An Exploration of Concealment and Discovery in Romantic Infidelity,Advances in Deception and Deception Detection,Interpersonal Communication,Paper,,An Exploration of Concealment and Discovery in Romantic Infidelity,Advances in Deception and Deception Detection,"Infidelity is not only a pervasive phenomenon in romantic relationships, but is often marked by secrecy, deception, and discovery. The current study had two overarching goals: (1) to uncover concealment strategies used by individuals engaging in infidelity, and (2) to understand the process of information-seeking from the perspective of the partner. Content analysis indicated that individuals use several concealment strategies simultaneously to hide their infidelity. Verbal strategies, including bald-face lies and equivocation were reported most frequently. Analysis of the partner’s experience of the discovery of infidelity corresponds with the Theory of Motivated Information Management; that is, suspicious behavior and a desire to know the truth trigger subsequent information-seeking actions. Infidelity encompasses more than just a violation of a sexual or emotional contract between partners; secrecy, deception, and discovery are often involved in many individuals’ experiences. The current study expands our understanding of this event through an exploration of its correlates."
2013-0151,"A Study of 3D HDTV Adoption: An Analysis of Predictors, Perceptions, and Behavioral Intention",Communication and Technology Interactive Poster Session,Communication and Technology,Paper,"Media Technology, Diffusion","A Study of 3D HDTV Adoption: An Analysis of Predictors, Perceptions, and Behavioral Intention",Communication and Technology Interactive Poster Session,"3D HDTV is a new form of TV viewing technology. This study applied Rogers’ (2003) innovation-decision process model to examine the effects of potential predictors and individuals’ perceptions about 3D HDTV on the behavioral intention of adopting 3D HDTV. Survey responses from 188 participants were analyzed and the research results show that participants had a relatively high level of knowledge about 3D HDTV. Rogers’ five characteristics of an innovation—relative advantage, compatibility, complexity, trialability, and observability—are positively related to the behavioral intention of adopting 3D HDTV. Individuals who have less knowledge about 3D HDTV, who are more innovative, who have more favorable attitude toward 3D HDTV, and who perceive less cost of watching 3D HDTV and perceive fewer health concerns about using 3D HDTV are more likely to adopt 3D HDTV. Gender was not found to have significant effect on adoption intention. This study also found that the use of video-related technologies such as HDTV and video game player are positively related to the adoption intention. The findings of a regression test suggest the perception about relative advantages of 3D HDTV and the attitude toward 3D HDTV can effectively influence individuals’ behavioral intention when controlling for other predictors."
2013-0201,Beware of the Spirits That You Call! Explorations Into the (Dis)ordering Properties of Communication,Communication Constituting Organizations: The CCO Perspective,Organizational Communication,Paper,,Beware of the Spirits That You Call! Explorations Into the (Dis)ordering Properties of Communication,Communication Constituting Organizations: The CCO Perspective,"This paper proposes to study the constitution of organization by acknowledging the fundamentally intertwined nature of order and disorder. Adopting a dialectical approach, which underlines the (dis)ordering nature of organization, the paper explores the mediating role of communication by focusing more specifically on the symbolic and the material dimension of language use as expressed in texts. Taking a communication-centered approach – mainly inspired from the “CCO” perspective (“communicative as constitutive of organizations”) –, the paper shows that efforts/effects of ordering are continuously haunted by disordering, that is, the plurality of many potential orders, which are at work in communication. Relying on the empirical material of three qualitative case studies in three distinct project-based organizations, it accounts for the key and yet paradoxical role of ordering devices, which are designed to create and maintain order, and because of their language-based nature, generate contingency and undecidability (in the same or in a neighboring domain), at the same time."
2013-0251,Call Your Legislator: A Field Experimental Study of the Impact of Citizen Contacts on Legislative Voting,Political Communication Interactive Poster Session,Political Communication,Paper,"Civic Engagement, Politicians / Legislatures, Quantitative - Other. Please specify:",Call Your Legislator: A Field Experimental Study of the Impact of Citizen Contacts on Legislative Voting,Political Communication Interactive Poster Session,"We test whether or not citizen contacts influence policymaker behavior. Our design involves random assignment of (state removed) legislators to be contacted by their own constituents about a bill under consideration by the state legislature at the time of the study. The field experimental design allows us to produce internally valid estimates of the influence of constituent contacts on legislative voting. The estimated effect is substantial: being contacted by constituents increases the probability of supporting the relevant legislation by 12 percentage points. The probability that a legislator votes for the legislation increases as the number of calls increase, although at a declining rate. We discuss the theoretical and normative implications of this result as well as suggestions for future research."
2013-0301,Cinema With a Capitole C: A Cultural Economics Analysis of the 1953-1971 Capitole Ledgers,Communication History High-Density Panel,Communication History,Paper,,Cinema With a Capitole C: A Cultural Economics Analysis of the 1953-1971 Capitole Ledgers,Communication History High-Density Panel,"This paper, which is inspired by recent research trends within the field of film studies, concentrates on the analysis of a unique set of archival material coming from the ledgers of the now defunct movie theatre Capitole in the city of Ghent, Belgium, for the period of 1953 to 1971, a period characterized by the arrival of television and the decline of film attendance. Based on a cultural economic analysis, this paper characterizes Capitole as a first-run cinema with a broadly appealing program, maximizing revenue and attendance. This paper aims to make a contribution to the advancement of cultural economics in film studies by connecting cinema and the sociocultural space through an economic perspective."
2013-0351,Communicative Leadership: Leaders and Members Reflecting on Leadership and Communication,Follow Me: Leadership Communication and Rhetoric in Organizations,Organizational Communication,Paper,,Communicative Leadership: Leaders and Members Reflecting on Leadership and Communication,Follow Me: Leadership Communication and Rhetoric in Organizations,"Despite several studies considering leadership discourse in organizations, the discursive construction of leadership communication by organizational actors is still under-researched. In this study, applying a social constructionist perspective to leadership and drawing from discursive leadership theory (Fairhurst, 2007) we investigate how leaders and employees in two Swedish organizations discursively construct a “communicative” leader. Data from Organization A consists of 17 individual interviews with leaders and 16 focus group interviews with employees. In Organization B, data include eight interviews with leaders and four employee focus groups. Using qualitative methods, we identify different dimensions of communicative leadership, compare leaders’ and members’ understandings of the concept, and compare how communicative leadership emerges in the two organizations. Findings illustrate the situatedness and socially constructed nature of leadership and leader behaviors, and show how co-constructed notions of leadership behaviors or leadership communication influence the communication environments of organizational actors.

Keywords: leadership, communication, discourse, communicative leadership"
2013-0401,Could Wild Horses Drag Access Away From Courtrooms? Expanding First Amendment Rights to New Pastures,"Rights to Information and Access: Interpretation, Implementation, and Use",Communication Law & Policy,Paper,"Free Speech/Expression, Right to Information/Freedom of Information",Could Wild Horses Drag Access Away From Courtrooms? Expanding First Amendment Rights to New Pastures,"Rights to Information and Access: Interpretation, Implementation, and Use","When the Supreme Court of the United States decided Richmond Newspapers v. Virginia in 1980, Justice John Paul Stevens declared it “a watershed case.” For the first time, the Court in Richmond Newspapers identified a First Amendment right to gather news – and, in particular, a right of access for the press and public to attend criminal trials. Although Justice Stevens apparently held high hopes for the newly created right of access, in the immediate aftermath of Richmond Newspapers, it appeared that the right would be limited to trials and other judicial proceedings. But an interesting development is occurring with Justice Stevens’ prediction. Slowly but surely, some lower courts are expanding the scope of the First Amendment right of access. This paper analyzes the Supreme Court’s creation of First Amendment right of access and explores the rise of First Amendment access in new domains outside of the judicial branch."
2013-0451,Debating Darija: Telquel and Language Politics in Modern Morocco,Innovations and Struggles for African and Middle Eastern Journalism,Journalism Studies,Paper,"Public Sphere, Media system/media culture, International/comparative research",Debating Darija: Telquel and Language Politics in Modern Morocco,Innovations and Struggles for African and Middle Eastern Journalism,"“Debating Darija: Telquel and Language Politics in modern Morocco” examines the role of Darija, or Moroccan Arabic, in forming modern citizen/subjects in relation to a democratic public sphere. The research questions for this project are: When and how does the francophone newsmagazine Telquel use Darija in its stories? How does Telquel engage in and position itself as a leader in the debate about language policy in Morocco? Textual analysis of Telquel over a one-year period (2010-2011) is used to investigate how language and power are defined by various groups, how people are included or excluded from those definitions, and how Moroccan identity is debated in a moment of globalization and in the context of recent social movements in the Arab world. This study argues that Telquel is endorsing a modernist project of normative democracy and acting as a space of intervention aimed at pulling together multiple cultural and political spheres."
