Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2007-0001,2008 Summer Games: Beijings Image Campaign,1,1,Briar Rose Smith,U of Pennsylvania
2007-0002,30 Years of Public Relations Scholarship: A Census of Our Research Methods,1,1,Donnalyn Pompper,Florida State U
2007-0003,"Abbreviation, Audience, and Gender in iTV SMS Chat",2,1,Asta Zelenkauskaite,Indiana U
2007-0003,"Abbreviation, Audience, and Gender in iTV SMS Chat",2,2,Susan C. Herring,Indiana U
2007-0004,"A Bridge Across the Bosphorous: Returned Migrants, Their Internet and Media Use, and Social Capital",2,1,Christine L. Ogan,Indiana U
2007-0004,"A Bridge Across the Bosphorous: Returned Migrants, Their Internet and Media Use, and Social Capital",2,2,Muzaffer Ozakca,Indiana U
2007-0005,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,6,1,Larry D. Browning,U of Texas
2007-0005,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,6,2,Jan-Oddvar Soernes,U of Bodø
2007-0005,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,6,3,Keri Keilberg Stephens,Texas State U
2007-0005,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,6,4,Alf Steinar Sætre,Norwegian U
2007-0005,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,6,5,Jennifer Deering Davis,U of Texas
2007-0005,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,6,6,Jaime L. Doyle,U of Texas
2007-0006,A Case Study of Boundary and Identity Management in a Virtual Team,1,1,Huiyan Zhang,Temple U
2007-0007,A Case Study of Why Local Reporting Matters: Photojournalism Framing of the Response to Hurricane Katrina in Local and National Newspapers,1,1,Mark Cooper,Consumer Federation of America
2007-0008,"Achieving Universal Service, Access, and Membership Across the Western Hemisphere: Realizing the Third Force",2,1,James A. Anderson,U of Utah
2007-0008,"Achieving Universal Service, Access, and Membership Across the Western Hemisphere: Realizing the Third Force",2,2,Amybel Sanchez,U de San Martin de Porres
2007-0009,A Click in Time: How Values Shape Media Choices Within Generations,3,1,J. Alison Bryant,Nickelodeon/MTV Networks
