Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2005-0001,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,2,1,Sara Mehltretter,Boston College
2005-0001,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,2,2,Dale Herbeck,Boston College
2005-0002,"Academic Stress, Supportive Communication, and Health",3,1,Erina L. MacGeorge,Purdue U
2005-0002,"Academic Stress, Supportive Communication, and Health",3,2,Wendy Samter,Bryant University
2005-0002,"Academic Stress, Supportive Communication, and Health",3,3,Seth Gillihan,University of Pennsylvania
2005-0003,Acculturation in the Age of New Media,1,1,Ying Kong,Pennsylvania State University
2005-0004,A Chronicle of Tobaccos Very Active Recruitment of Gays and Lesbians,1,1,Linda Alexander,U of Southern California
2005-0005,A Cognition-Emotion Integrated Model of Media Message Processing,2,1,Yan Jin,U of Missouri - Columbia
2005-0005,A Cognition-Emotion Integrated Model of Media Message Processing,2,2,Paul David Bolls,U of Missouri - Columbia
2005-0006,A Comparison of Five Social Psychological Models of Condom Use: Implications for Designing Prevention Messages,4,1,Rungrat Chaisamrej,U of Kentucky
2005-0006,A Comparison of Five Social Psychological Models of Condom Use: Implications for Designing Prevention Messages,4,2,Rick S. Zimmerman,U of Kentucky
2005-0006,A Comparison of Five Social Psychological Models of Condom Use: Implications for Designing Prevention Messages,4,3,Seth M Noar,U of Kentucky
2005-0006,A Comparison of Five Social Psychological Models of Condom Use: Implications for Designing Prevention Messages,4,4,Lucas Thomas,University of Kentucky
2005-0007,A Comparison of Pro-Anorexia and Treatment Web Sites: A Look at the Health Belief and Stages of Change Models Online,3,1,Sarah Keller,MSU-Billings
2005-0007,A Comparison of Pro-Anorexia and Treatment Web Sites: A Look at the Health Belief and Stages of Change Models Online,3,2,Lori Rosenthal,Emerson College
2005-0007,A Comparison of Pro-Anorexia and Treatment Web Sites: A Look at the Health Belief and Stages of Change Models Online,3,3,Paul Rosenthal,Emerson College
2005-0008,"A Comparison of Public Policies and Research on Cultural Diversity in Mexican, Canadian and US Television",1,1,Jose-Carlos Lozano,ITESM
2005-0009,A Comparison of Three Models to Understand Purchasing Behavior of Avatar-Related Products,1,1,Donghun Chung,Ohio U
2005-0010,"Acquiring Political Information on the Web: Issue Publics, Domain-Specificity, and Selectivity",1,1,Young Mie Kim,The Ohio State University
2005-0011,A Critical Analysis of EU Mobile Narratives and the Ideal Citizen of the Mobile World,1,1,Jonathan J. Lillie,University of Hawaii - Manoa
2005-0012,A Critical Review of Research on Cultural Similarities and Differences in Emotional Support,2,1,Bo Feng,Purdue University
2005-0012,A Critical Review of Research on Cultural Similarities and Differences in Emotional Support,2,2,Brant R. Burleson,Purdue U
2005-0013,A Critical Study of Representing Other: The Case of Media SARS Coverage on Vietnam and China,2,1,Yu Huang,Hong Kong Baptist U
2005-0013,A Critical Study of Representing Other: The Case of Media SARS Coverage on Vietnam and China,2,2,Chi Mei Christine Leung,Hong Kong Baptist University
2005-0014,A Critique of Active Audience Studies: The Audience as Political Participants in Alternative Media,1,1,InCheol Min,lecturer at Chosun University
2005-0015,A Cross-cultural Adaptation and Feminist Perspective of the Lives of Chinese F2s,4,1,Xun Liu,Michigan State U
2005-0015,A Cross-cultural Adaptation and Feminist Perspective of the Lives of Chinese F2s,4,2,Arvind Diddi,Michigan State U
2005-0015,A Cross-cultural Adaptation and Feminist Perspective of the Lives of Chinese F2s,4,3,Qing Tian,Georgia State University
2005-0015,A Cross-cultural Adaptation and Feminist Perspective of the Lives of Chinese F2s,4,4,Dongrong Liu,Central South University
2005-0016,A Cross-Cultural Study of Grandmothers and Their Role Among Families in Taiwan and the United States,4,1,Todd L. Sandel,U of Oklahoma
2005-0016,A Cross-Cultural Study of Grandmothers and Their Role Among Families in Taiwan and the United States,4,2,Grace Cho,University of Illinois
2005-0016,A Cross-Cultural Study of Grandmothers and Their Role Among Families in Taiwan and the United States,4,3,Peggy Miller,University of Illinois
2005-0016,A Cross-Cultural Study of Grandmothers and Their Role Among Families in Taiwan and the United States,4,4,Su-hua Wang,University of California at Santa Cruz
2005-0017,Active Patient Participation: A Dialectical Perspective,1,1,Tony L. Kroll,Texas A&M U
2005-0018,"Activism Revisited: Broadcasting, Culture, and the Public Relations of British NGOs",1,1,Rachel Kovacs,Fairleigh Dickinson U
2005-0051,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,2,1,Mark A. Hamilton,U of Connecticut
2005-0051,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,2,2,Xiaolan Helen Sun,U of Connecticut
2005-0052,Adaptation to Expressed Liking and Disliking in Initial Interactions: Nonverbal Involvement and Pleasantness Response Patterns,2,1,Kory Floyd,Arizona State U
2005-0052,Adaptation to Expressed Liking and Disliking in Initial Interactions: Nonverbal Involvement and Pleasantness Response Patterns,2,2,George B. Ray,Cleveland State U
2005-0053,Additional Channels in Dutch Television Genres,2,1,Martine van Selm,"Radboud University Nijmegen, The Netherlands"
2005-0053,Additional Channels in Dutch Television Genres,2,2,Allerd Peeters,"Radboud University Nijmegen, the Netherlands"
2005-0054,A Deeper Look at the Economics of Advertiser Support for Television: The Implications of Consumption-Differentiated Viewers and Ad Addressability,2,1,Eun-mee Kim,Yonsei University
