Paper ID,Title,Type,Title to Check,Abstract
06-1,2004 Presidential Campaign Messages: A Functional Analysis of News Releases from President Bush and Senator Kerry,"  In Session Submission: Public Relations, Governmental, and Political Campaigning
  Session Submission Division: Public Relations
  Individual Submission type: Paper
  Time: Thu Jun 22 2006, 10:30 to 11:45am Place: Dresden Conference Center, Seminar 1",2004 Presidential Campaign Messages: A Functional Analysis of News Releases from President Bush and Senator Kerry,Scheduled Time:
06-51,A Garbage Can Model of Information/Communication/Technology Choice: From Qualitative Data to Computer Simulation,"  In Session Submission: Structuring Communication Technologies
  Session Submission Division: Organizational Communication
  Individual Submission type: Paper
  Time: Fri Jun 23 2006, 10:30 to 11:45am Place: Dresden Conference Center, Hall 2",A Garbage Can Model of Information/Communication/Technology Choice: From Qualitative Data to Computer Simulation,Scheduled Time:
06-101,Anti-Americanism and Its Impact on Movie Consumption,"  In Session Submission: Intercultural & Development Communication Interactive Paper Session
  Session Submission Division: Intercultural & Development Communication
  Session Submission Sub-Division: Intercultural Communication
  Individual Submission type: Paper
  Time: Thu Jun 22 2006, 12:00 to 1:15pm Place: Dresden Conference Center, Terrace",Anti-Americanism and Its Impact on Movie Consumption,Scheduled Time:
06-151,Automatic Attention Processes in Searching Versus Surfing for Information,"  In Session Submission: Human Computer Interaction and Information Processing
  Session Submission Division: Information Systems
  Individual Submission type: Extended Abstract
  Time: Wed Jun 21 2006, 1:30 to 2:45pm Place: Dresden Conference Center, Hall 5",Automatic Attention Processes in Searching Versus Surfing for Information,Scheduled Time:
06-201,Can Loss-Frame Accelerate Cooperation?,"  In Session Submission: Advances in Advertising Research II
  Session Submission Division: Mass Communication
  Individual Submission type: Paper
  Time: Tue Jun 20 2006, 10:30 to 11:45am Place: Dresden Conference Center, Hall 3",Can Loss-Frame Accelerate Cooperation?,Scheduled Time:
06-251,Communication Technologies and Health Care: Diagnosis of Theoretical Contributions to the Study of Telemedicine,"  In Session Submission: Health Communication Division Interactive Paper Session
  Session Submission Division: Health Communication
  Individual Submission type: Paper
  Time: Thu Jun 22 2006, 12:00 to 1:15pm Place: Dresden Conference Center, Terrace",Communication Technologies and Health Care: Diagnosis of Theoretical Contributions to the Study of Telemedicine,Scheduled Time:
06-301,Constructions of Arab and Islamic Actors & the West: A Print Media Analysis Around 9/11,"  In Session Submission: Framing Identity/Framing Difference in Journalistic Representations
  Session Submission Division: Ethnicity and Race in Communication
  Individual Submission type: Extended Abstract
  Time: Mon Jun 19 2006, 12:00 to 1:15pm Place: Dresden Conference Center, Conference 5",Constructions of Arab and Islamic Actors & the West: A Print Media Analysis Around 9/11,Scheduled Time:
06-351,Crime Cultivation: Comparisons Across Media Genres and Channels,"  In Session Submission: Film and Television: Genres and Audiences
  Session Submission Division: Mass Communication
  Individual Submission type: Paper
  Time: Fri Jun 23 2006, 12:00 to 1:15pm Place: Dresden Conference Center, Seminar 5",Crime Cultivation: Comparisons Across Media Genres and Channels,Scheduled Time:
06-401,"Dimensions of Social Capital: Civic Engagement, Social Trust, and Media Use","  In Session Submission: Media Use: The Latest Research
  Session Submission Division: Mass Communication
  Individual Submission type: Paper
  Time: Wed Jun 21 2006, 10:30 to 11:45am Place: Dresden Conference Center, Hall 2","Dimensions of Social Capital: Civic Engagement, Social Trust, and Media Use",Scheduled Time:
06-451,Effects of Personality Types on Television Genre Preferences,"  In Session Submission: Mass Communication Interactive Paper Session
  Session Submission Division: Mass Communication
  Individual Submission type: Paper
  Time: Thu Jun 22 2006, 12:00 to 1:15pm Place: Dresden Conference Center, Terrace",Effects of Personality Types on Television Genre Preferences,Scheduled Time:
