Paper ID,Title,Session,Session Division,Individual Division,Session SubDivision,Sumission Type,Title to Check,Session to Check,Abstract
2008-0001,A 10-Year Systematic Review of HIV/AIDS Mass Communication Campaigns: Have We Made Progress?,Progress and Perspectives in Communicating About HIV/AIDS,,,,Paper,A 10-Year Systematic Review of HIV/AIDS Mass Communication Campaigns: Have We Made Progress?,Progress and Perspectives in Communicating About HIV/AIDS,"The purpose of the current study was to conduct a 10-year systematic review of HIV/AIDS mass communication campaigns (1998  2007) and to compare the results to the last comprehensive review of such campaigns, conducted by Myhre and Flora (2000). A comprehensive search strategy yielded 36 HIV/AIDS campaign evaluation articles published in peer-reviewed journals, representing 33 distinct campaign efforts conducted in 23 countries. The articles were coded on a variety of campaign design and evaluation dimensions by 2 independent coders. Results indicated that compared with the previous systematic review (1986  1998 period), campaigns have increasingly: 1) targeted defined audiences developed through audience segmentation procedures; 2) designed campaign themes around behavior change (rather than knowledge change); 3) used behavioral theories; 4) achieved high message exposure; 5) used stronger research designs for outcome evaluation; and 6) included measures of behavior (or behavioral intentions) in outcome assessments. In addition, an examination of 10 campaign efforts which used quasi-experimental designs revealed that the majority (8 of 10) demonstrated effects on behavior change or behavioral intentions. Despite these positive developments, most HIV/AIDS campaigns continue to use weak outcome evaluation designs. Implications of these results for improved design, implementation, and evaluation of HIV/AIDS campaign efforts are discussed."
2008-0002,"ABC, Agnew, and Richard Nixon's War on Network Television News",History of Journalism,,,,Paper,"ABC, Agnew, and Richard Nixon's War on Network Television News",History of Journalism,"Richard Nixon and Spiro Agnew came to office with a distrust and visceral dislike of broadcast journalism. When broadcasters angered the administration with on-air commentary following a presidential address, Agnew lashed out with a series of speeches that broadcasters deemed as threatening to a business that is licensed by the government. While all the networks were targeted by the Nixon war on television, ABC was particularly vulnerable because it was the weakest economically. ABCs top executives were also sympathetic to Nixons administration. This paper draws on archival material to describe the Nixon war on television, particularly as it affected ABC."
2008-0003,Above the Influence: Development of a Brand to Reach Youth at the Moment of Decision About Drug Use,Maximizing Opportunities and Mitigating Threats to Success in a Large-Scale Antidrug Media Campaign for Youth,,,,Paper,Above the Influence: Development of a Brand to Reach Youth at the Moment of Decision About Drug Use,Maximizing Opportunities and Mitigating Threats to Success in a Large-Scale Antidrug Media Campaign for Youth,"Social marketing has borrowed branding from commercial marketing, where a pattern of symbols and language call to the target audiences mind all the information and associations inherent to the product. This paper will discuss the evolution of the National Youth Anti-Drug Media Campaigns Above the Influence brand, with a particular emphasis on how campaign advertising reaches youth within their social contexts. This campaign has conducted extensive research with teens to develop a youth voice for advertising, which is then delivered through innovative channels that break through the clutter and reach youth with prevention messages at the moment of decision about drug use. Quantitative data on brand recognition, reach and frequency will be presented, in tandem with anecdotal information about how particular youth have embraced the ATI brand. Overall, this research demonstrates the value of branding to social marketing campaigns, particularly reaching teens with behavior change messages."
2008-0004,"A Brunswikian Lens Model Approach for Automatic, Multimodal Deception Detection",Deception and Trustworthiness,,,,Paper,"A Brunswikian Lens Model Approach for Automatic, Multimodal Deception Detection",Deception and Trustworthiness,"This article outlines an approach for automatically extracting behavioral indicators from video, audio, and text and explores the possibility of using those indicators to predict human-interpretable judgments of involvement, dominance, tenseness, and arousal. We utilized two-dimensional spatial inputs extracted from video, acoustic properties extracted from audio, and verbal content transcribed from face-to-face interactions to construct a set of multimodal features. Multiple predictive models were created using the extracted features as predictors and human-coded perceptions of involvement, tenseness, and arousal as criterion measures. The predicted perceptions were then used in classifying truth and deception. Though the predicted values for perceptions performed comparably to human-coded perceptions, their contribution to detecting deception was less successful. Thus, the extracted multimodal features were used to predict deception directly. Classification accuracy was substantially higher than typical human deception detection performance."
2008-0005,Abstracting the Real City,Game Studies High Density Paper Session,,,,Paper,Abstracting the Real City,Game Studies High Density Paper Session,"Recent studies in the USA and in Europe focus on the educational aspects of computer games, and discuss the possible psychological and sociological implications of simulation games. SimCity is a system simulation game that is frequently used in educational settings, and that is shown to be beneficial for students in terms of teaching simple economic concepts, mathematical skills and urban planning. This study aims to contribute to the literature of computer games studies by focusing on whether players in a different culture learn from the content of a game designed based on Western conceptualization. In a quasi-experimental research design with a group of 13 year old 7th graders in Turkey (n=248), it was found that students who play SimCity for 6 weeks learn and apply the concept of zoning, have greater sensitivity to city related issues, and have a higher level of anomie compared to those in the control group."
2008-0006,"A case study of the Red Lake, MN school shooting: Intercultural leaning in the renewal process","Public Relations, Organizational Learning and Renewal: Emerging Perspectives in Risk Communication",,,,Paper,"A case study of the Red Lake, MN school shooting: Intercultural leaning in the renewal process","Public Relations, Organizational Learning and Renewal: Emerging Perspectives in Risk Communication","As organizations and communities seek to recover from a crisis, they often move must balance and accommodate competing value systems. Failure to manage these value systems effectively can exacerbate a crisis. Using the shootings at the Red Lake, MN, public school in 2005 (Minnesota Public Radio, 2005) that left 10 people dead and seven injured as a focus for this case study, multiple data sources reveal the role of intercultural learning in the renewal process for the community. Lessons leaned indicate that the clash between the dominant and Native American culture created a secondary tension in the crisis. Management of the crisis required a rhetoric of privacy, a respect for the communitys values, and a more culturally-relevant interpretation of tribal free press."
2008-0007,Acceptance of Third-Generation (3G) Mobile Services in Singapore: Decomposing Perceived Critical Mass and Subjective Norms * (TOP FACULTY PAPER IN CAT),Psychology of Technology Adoption,,,,Paper,Acceptance of Third-Generation (3G) Mobile Services in Singapore: Decomposing Perceived Critical Mass and Subjective Norms * (TOP FACULTY PAPER IN CAT),Psychology of Technology Adoption,"This study examined the social and psychological factors influencing technology acceptance in the context of 3G mobile services in Singapore. The study theoretically extended Technology Acceptance Model (TAM) by specifying the relationship between two social influence factors (perceived critical mass and subjective norms) and their distinct impacts on internal beliefs and behavior intentions pertaining to technology acceptance Using national survey data (n=201), this study examined competing models of social influence (e.g., utility versus normative perspectives). Overall, the findings suggest that perceived critical mass and subjective norms had the largest total effects on intentions to use 3G mobile services, confirming that acceptance of interactive media services are largely determined by social dynamics. Further, it was found that effect of social influence is multi-faceted to the extent that it can have a direct effect on intention through normative influence and an indirect effect though network externality or internalization. The findings demonstrate that it is critical to distinguish different types of social influence since they have conceptually and empirically different implications for behaviors."
2008-0008,Access to Broadcasting: Community Radio and Radio Communities,"Media Issues of Citizenship, Environment, and Health",,,,Paper,Access to Broadcasting: Community Radio and Radio Communities,"Media Issues of Citizenship, Environment, and Health","Community radio is both a participatory form of communication  broadcasting that represents some kind of ideological understanding about community organizing and participatory media, and in many countries, a formal sector of licensing. The difficulty for researchers interested in community radio is this distinction is not always made clear. Practical concerns regarding the legislative process, policy-making, technical considerations of frequency allocation, power restrictions and antenna height are very different  although related  to issues of community organizing and social gain. In taking the example of Britain, and examining community radio in practice among the three London stations, we can see where these regulatory issues in practice converge with more theoretical issues around community media as a form of alternative media, and practical issues around community broadcasting as a participatory media, and broader social and political issues around the right to communicate and citizens access to the airwaves.

This paper presents a framework for thinking about community media in a practical and regulatory context and thought a focused examination of community radio in London, unpacks the tensions around practice and theory. The study draws heavily on field research and first person interviews."
2008-0009,Access to the News Media: Right of Reply in Comparative Law,Frontiers in Free Expression,,,,Paper,Access to the News Media: Right of Reply in Comparative Law,Frontiers in Free Expression,"Although it is passé in American broadcasting law and has been a nonissue for American print media, the debate about the right of reply in the United States is alive and well forty years after George Washington University law professor Jerome Barron sparked it with his landmark law review article Access to the PressA New First Amendment Right. Significantly, the debate is refreshingly enriched by taking a discerning look at other democratic legal systems that are more experienced on the right of reply.
In the context of the growing acceptance of the right of reply in foreign law, this paper is a modest attempt to review the right of reply abroad while risking the nose-counting sin. This paper examines two questions as its main focus: How is the right of reply recognized in various countries with free press systems?; and What is the impact, whether actual or perceived, of the right of reply on freedom of the press?"
2008-0010,Accommodating the Nations: Cultural Citizenship in Monsoon Wedding,"Popular Culture, the Nation, and Globalization",,,,Paper,Accommodating the Nations: Cultural Citizenship in Monsoon Wedding,"Popular Culture, the Nation, and Globalization","In studying Mira Nairs diasporic film Monsoon Wedding in relation to processes of globalization and modernity, I argue that we must understand the film not as popular culture that can often position the popular as the other but as public culture in India that accommodates contested processes of globalization and economic change. Sites of consumption or pleasure are important for understanding new kinds of citizenship in the contexts of global flows of people and ideas. While the film uses the exotic to capture an international audience, it also subverts the neo-exotic discourse of the market. Its melodrama and excess disrupts social rules and economic hierarchies, giving way to pleasure and accommodation between essentialist categories of culture and belonging."
