Paper ID,Title,Session,Session Division,Individual Division,Session SubDivision,Sumission Type,Title to Check,Session to Check,Abstract
2006-0001,2004 Presidential Campaign Messages: A Functional Analysis of News Releases from President Bush and Senator Kerry,"Public Relations, Governmental, and Political Campaigning",Public Relations,,,Paper,2004 Presidential Campaign Messages: A Functional Analysis of News Releases from President Bush and Senator Kerry,"Public Relations, Governmental, and Political Campaigning","This study content analyzed news releases from Bush and Kerry in the 2004 election. Challenger Kerry attacked more and acclaimed less than the incumbent, Bush. Defenses were relatively rare. Candidates focused most on policy than character or campaign-related topics. When addressing policy, they discussed past deeds (53.3%), future plans (16.9%), and general goals (29.8%). When discussing character, they addressed personal qualities (57%), ideals (27.1%), and leadership ability (15.9%). Results were compared with Bushs and Kerrys 2004 television spots, debates, and 2004 primary campaign news releases."
2006-0002,A Blended Approach to Cosmological Crisis: A Theoretical Analysis of Communication Efforts by the Canadian Tourism Commission Post 9/11,Public Relations Top Student Papers,Public Relations,,,Paper,A Blended Approach to Cosmological Crisis: A Theoretical Analysis of Communication Efforts by the Canadian Tourism Commission Post 9/11,Public Relations Top Student Papers,"This is a case study of the communication strategies developed by the Canadian Tourism Commission (CTC) to revive a battered tourism industry after September 11, 2001. Analysis is conducted in a blended approach applying chaos theory, stakeholder theory, and two-way symmetry as combination approaches in dealing with and explicating a large-scale crisis. Chaos theory has been applied to the 1997 Red River Valley flood in Minnesota and North Dakota (Sellnow, Seeger & Ulmer, 2002), however, there are no specific cases that explore a blended approach to crisis on a large scalea cosmological crisis."
2006-0003,A Brave New World for International News? Exploring the Determinants of the Coverage of Foreign Nations on U.S. Web Sites,Old to New Media,Intercultural & Development Communication,,International & Development Communication,Paper,A Brave New World for International News? Exploring the Determinants of the Coverage of Foreign Nations on U.S. Web Sites,Old to New Media,"This study content analyzed international news published on two of the most visited Web sites in the United States, cnn.com and www.nytimes.com. The influences of trade, existence of news agencies, national traits, and cultural and geographic proximity on these two news Web sites were examined. The international news from the online version were analyzed and compared with the print and broadcast versions. The study found that trade volume and existence of news agencies are two leading predictors of international news coverage in both online and traditional media. Yet, the influence of news agencies on the Web sites seems greater than on the traditional media. Also, press freedom was found irrelevant to international coverage in the U.S. media."
2006-0004,"Abstract Inclusion-Concrete Exclusion: ICTs, EU Policies And Aspects Of Digital Divide",National Regulation in an International World,Communication Law & Policy,,,Paper,"Abstract Inclusion-Concrete Exclusion: ICTs, EU Policies And Aspects Of Digital Divide",National Regulation in an International World,"During the 1990s, both scholarly and media discourses have been celebratory of the Internet in general. As Wolcott and Cagiltay (2001: 133) suggest, the Internet has appeared as a powerful force for integrating local economies into the global economy, an engine for economic growth, a force for freedom, a threat to revenue streams of telecommunications providers and their governments, a facilitator of terrorist activities, and a corruptor of social values. A global, neo-liberal policy agenda was popularized by the Clinton-Gore administration in 1993 through their proposal for the establishment of a Global Information Infrastructure (GII) and Global Information Society (GIS), which overlapped with both the GATS and the US own National Information Infrastructure (NII). The aim of this paper is to, first, briefly reflect on the policy and academic discourse on information infrastructure and digital divide in terms of the implications of the ways these concepts were regarded; secondly, to analyze the current situation in Turkey, a candidate to the EU, concerning access to the ICTs and factors affecting the digital divide; and thirdly, to discuss the vision offered by government-level IST policies and international events such as WSIS."
2006-0005,"Abu Ghraib Revisited: News Narratives, Visual Culture, and the Power of Photography",Narrative Structures of the News,Journalism Studies,,,Paper,"Abu Ghraib Revisited: News Narratives, Visual Culture, and the Power of Photography",Narrative Structures of the News,"Drawing on a close analysis of how the Abu Ghraib photographs originally were framed in the American news media, public debate and in popular cultural contexts, this paper addresses the question of how news media images exert power in the shaping of news, politics, and public opinion. Specifically, it takes issue with the scholarly tendency to foreclose any inquiry into the workings of news media images with presuppositions that such images mainly play the passive role of illustrations to dominant news frames and official political discourse, with little or no potential for independent influence on members of the audience. The paper argues instead that the relationship between visuals and news narratives not seldom is a high-tension one, and that images which contradict or disrupt a dominant discursive frame might have a considerable impact, if not directly on politics and policy making, then more so on popular imagination and historical consciousness. Even if the Abu Ghraib photographs in a short-term perspective had minimal political or policy repercussions, they nevertheless dealt a fatal blow to the United States mission in Iraq. Not only were these photographs bound to alienate much of the Arab world, but also, in a long-term perspective, to percolate into the mind of Americans, and to create their own autonomous frame of reference in the sense that the heretofore banned sight of American soldiers in the role of sadistic dominators has become an integral part of our understanding of the US war on terror."
2006-0006,A Burkean Theory of Media Effects: Toward a Non-Salience Theory of Framing,New Perspectives on Priming and Framing,Political Communication,,,Paper,A Burkean Theory of Media Effects: Toward a Non-Salience Theory of Framing,New Perspectives on Priming and Framing,"Since its inception, agenda setting research has been grounded in psychological theories which posit the role of salience in the formation of opinions. Media effects are explained through the medias ability to report certain issues rather than others, thereby enabling or disabling individuals from recalling particular aspects of a public controversy. This paper argues that such a psychological model can not explain observed media effects for issues that are already of high salience, i.e. the ability of the media to move public opinion on issues that are already broadly discussed and highly relevant. Instead, this paper will offer an alternative theory for media framing grounded in the psychological and rhetorical theories of Kenneth Burke. Specifically, it will be argued that Burkes pentad and his description of how pentadic ratios can affect perceptions offers an alternative methodology for investigating media effects."
2006-0007,A Case Study of Government PR Practices in Korea: An Application of Huttons PR Model,Public Relations High Density Session: Young Talent,Public Relations,,,Poster,A Case Study of Government PR Practices in Korea: An Application of Huttons PR Model,Public Relations High Density Session: Young Talent,"The public relations (PR) practices of the Korean Information Service (KOIS) and the National Image Committee (NIC), two major PR organizations in the Korean government, are analyzed in this study. Based on the three-dimensional theoretical framework of Huttons 1 public relations practices (interest, initiative, and image), the PR practices of the KOIS and the NIC were classified into six relatively distinct orientations or models of public relations practice: persuasion, advocacy, public information, cause-related public relations, image/reputation management, and relationship management. Using data collected from in-depth interviews and investigation into the actual PR materials, both the KOIS and the NIC are found to rely heavily on image/reputation management type PR practices. On the other hand, the relatively weak practices of the two organizations are found to be advocacy and cause-related public relations. The primary contribution of this study is providing PR practitioners of government organizations with theoretical understanding and applications of public relations practices, which complement the development of strategic PR programs. Limitations and future research are discussed."
2006-0008,Access to Information as a Human Right: Analysis of the United Nations Human Rights Committee,A Human Rights Approach to Access to Information,Communication Law & Policy,,,Paper,Access to Information as a Human Right: Analysis of the United Nations Human Rights Committee,A Human Rights Approach to Access to Information,"This paper assesses the status of the right of access to government-held information in international human rights law by analyzing the documents of the United Nations Human Rights Committee, which monitors implementation of the International Covenant on Civil and Political Rights (ICCPR). Many international NGOs and some legal scholars envision access to government information as a human right. Most positing this idea base their arguments on the wording of articles 19 of the Universal Declaration of Human Rights and the ICCPR, which includes the freedom to seek, receive and impart information. After analyzing approximately 850 decisions, 183 country reports, and 34 statements of the Committee, this paper found that the Committees interpretations of Article 19 do not clearly envision access to government-held information as a human right. Limited situation-specific rights were found under Covenant articles guaranteeing rights of privacy and the right to a fair trial."
2006-0009,"Accounting for the 1920 Lynching in Duluth, Minnesota: Marginalizing People, Groups, and Ideas in Selected Minnesota Newspapers (Top Interactive Paper)",Ethnicity and Race in Communication Interactive Paper Session,Ethnicity and Race in Communication,,,Paper,"Accounting for the 1920 Lynching in Duluth, Minnesota: Marginalizing People, Groups, and Ideas in Selected Minnesota Newspapers (Top Interactive Paper)",Ethnicity and Race in Communication Interactive Paper Session,"For decades, Minnesota history books omitted the story of how a white crowd numbering in the thousands lynched three Southern black men in one of the states largest cities. This research about how Minnesota newspaper coverage of this one eventthat in some ways epitomized, and in other ways was an anathema to, much that marked American culture in 1920constructed the account, and in the process shaped perceptions of responsibility for the lynching and perceptions of marginalized groups, people, and ideas. In the analysis of fifteen mainstream daily newspapers and two African American weeklies, research for this case study shows how dominant voices reinforced dominant presentations of responsibility for the lynching, presentations that reinforced dominant social structures. Additionally, it presents how black and white womens, and black mens, voices were absent or rare, as well as addresses information and ideas not reported or slighted and how medias construction of the lynching contributed to hegemony."
2006-0010,Accounting for the Development of the U.S. Cable Television Industry in Pennsylvanias Anthracite Coal Region: A Literature Review and Theoretical Model,Media Industry: Developments in International Perspectives,Mass Communication,,,Paper,Accounting for the Development of the U.S. Cable Television Industry in Pennsylvanias Anthracite Coal Region: A Literature Review and Theoretical Model,Media Industry: Developments in International Perspectives,This paper reviews relevant literature and develops a framework for understanding why the U.S. cable television industry developed in Pennsylvania's anthracite coal region and how the industry spread after its founding.
2006-0011,A Comparative Analysis of the Framing of Conflict in Cancer News: Mobilizing African Americans to Better Health,From Health Campaigns to Media Preferences: Understanding the Role of Ethnicity and Race in Communication Processes,Ethnicity and Race in Communication,,,Extended Abstract,A Comparative Analysis of the Framing of Conflict in Cancer News: Mobilizing African Americans to Better Health,From Health Campaigns to Media Preferences: Understanding the Role of Ethnicity and Race in Communication Processes,African Americans suffer disproportionately from cancer in the U.S. One way to reduce health disparities is to increase awareness and motivate preventative behaviors. Contingency theory of conflict management suggests that conflict can motivate action. This study compares one year of cancer stories in 12 U.S. mainstream newspapers and 24 Black newspapers. The purpose is to contrast how the newspapers present conflict factors: comparative group risks and causes of cancer. Our results will help identify if Black newspapers present conflictual information differently. These findings may reveal important cultural factors for communicating with African Americans about cancer.
2006-0012,A Comparative Content Analysis of Wartime News Sources: CNN and Al-Jazeera,News Contents in International Perspective,Mass Communication,,,Paper,A Comparative Content Analysis of Wartime News Sources: CNN and Al-Jazeera,News Contents in International Perspective,"Given the recent repercussions of Arab network Al-Jazeeras wartime prominence, this study conducted a comparative content analysis of CNN in the Gulf War and Al-Jazeera in the Iraq War presented in The New York Times to examine their uses as news sources, their assessments, and evaluation of U.S. public relations efforts. The present study predicted that CNN would be used and evaluated more favorably by The New York Times. The results of the content analysis mostly supported the predictions. Implications of our findings and suggestions for future research were stated."
2006-0013,A Comparative Study of Employee/Superior Communication Style between Finnish & Mexican Employees,"Organizational Communication Interactive Paper Session: Focus on Leadership, Socialization and Interpersonal Relations in Organizations",Organizational Communication,,,Paper,A Comparative Study of Employee/Superior Communication Style between Finnish & Mexican Employees,"Organizational Communication Interactive Paper Session: Focus on Leadership, Socialization and Interpersonal Relations in Organizations","The purpose of this international research is threefold: First, to discover and compare the communication styles of Finish and Mexican employees when they communicate with superiors. Second, to explain the impact that gender, organizational, and national cultures have on communication style. Finally, to analyze the theoretical and practical implications of the findings in terms of the communication competencies needed for successful communication between employees and superiors.

The samples used for this research were collected in Finland and Mexico. The following statistical procedures, using SPSS program, were conducted: Means, Standards Deviations for each item and dimension. T-tests were conducted to compare Finish and Mexican employees and male/female communication styles.

One of the major general conclusions of this study is the confirmation of the theoretical position of the authors on how a post hoc cultural explanation of communication behaviors is legitimate and valid way of theorizing on how communication is influenced by culture and therefore, how it can be understood and explained from a culture perspective.

Another major theoretical conclusion drawn from this study is that every culture has its own communication style. The findings clearly demonstrate that the way Finish employees communicate with their superiors is different from the Mexican employees. For example, there are clear differences in terms on how Finish and Mexican cultures view and manage conflict. In Finnish culture to confront conflict is no only appropriate but also encouraged as necessary. On the contrary in the Mexican culture the norm is to avoid it."
