Paper ID,Title,Session,Session Division,Individual Division,Session SubDivision,Sumission Type,Title to Check,Session to Check,Abstract
2007-0001,2008 Summer Games: Beijings Image Campaign,Chinas Olympic Makeover: Shaping Chinas Global Image via the 2008 Beijing Olympics,,,,Paper,2008 Summer Games: Beijings Image Campaign,Chinas Olympic Makeover: Shaping Chinas Global Image via the 2008 Beijing Olympics,"China is preparing for what is expected to be the most expensive and possibly the most profitable Olympics on record. A crucial aspect of a successful Olympics is a compelling and coherent set of Olympic images and symbols that appeals to domestic and international audiences. However, the strategic designs of 2008 Olympics can also be seen as representative of the ways in which China would like to define itself to its citizens and the world.

This paper focuses on the symbols, mottos, and images of the 2008 Beijing Olympics. It especially analyses Beijings Olympic mascots: The Five Friendlies. The paper examines the design process for the mascots and other Olympic images, as well as the cultural and historical qualities represented in the designs. Of particular concern are the economic, political, and social implications embodied by the images, mascots and logos of the 2008 Games as China advertises itself domestically and internationally through these images."
2007-0002,30 Years of Public Relations Scholarship: A Census of Our Research Methods,Public Relations Interactive Paper Session,,,,Paper,30 Years of Public Relations Scholarship: A Census of Our Research Methods,Public Relations Interactive Paper Session,"This systematic review of research published in two scholarly public relations journals offers an introspective analysis of research methods used during the past 30 years. This study was inspired by two debates historically rooted in the publishing of public relations research: 1) application versus theory building, and 2) use of quantitative versus qualitative methods. A census of research published from 1975-2005 in Public Relations Review (n=787) revealed use of quantitative methods in 270 articles (34.3%) and qualitative methods in 489 articles (62.1%). During the 1989-2005 time period, Journal of Public Relations Research (n=213) published studies that used quantitative methods in 97 articles (45.5%) and qualitative methods in 92 articles (43.2%). Use of research methods over time and use of combined/multiple methods also was examined. Finally, recommendations are offered to authors regarding technique and methodological choices."
2007-0003,"Abbreviation, Audience, and Gender in iTV SMS Chat",Promises and Problems of the Chat Generation,,,,Paper,"Abbreviation, Audience, and Gender in iTV SMS Chat",Promises and Problems of the Chat Generation,"A distinctive feature of Short Message Service (SMS) mobile phone messages in various languages is the use of non-standard, abbreviated typography. Previous research on computer-mediated communication (CMC), including SMS, has also identified differences according to user gender. This paper reports a study of non-standard typography, in particular shortenings, in relation to gender of users in SMS messages sent to a public Italian interactive television (iTV) channel. A quantitative comparison of SMS in three languagesItalian, English and Germanwas also carried out to show that shortenings are an integral part of non-standard SMS typography, regardless of language and the public/private audience dimension. The results shed light on SMS usage across languages as well as the increasingly popular phenomenon of iTV SMS chat."
2007-0004,"A Bridge Across the Bosphorous: Returned Migrants, Their Internet and Media Use, and Social Capital",Articulating Home and Belonging: Mapping the Diaspora and its Experiences,,,,Paper,"A Bridge Across the Bosphorous: Returned Migrants, Their Internet and Media Use, and Social Capital",Articulating Home and Belonging: Mapping the Diaspora and its Experiences,"Relatively few studies have focused on migrants who returned to the country of their origin or their parents origin. Still fewer have examined the communication patterns of call center workers who live in one country but conduct all of their business in the language and culture of another country. Drawing on work by Portes and Bourdieu, this study treats the use of traditional media and the Internet and its relation to the bridging and bonding behavior of a group of Turks who returned to Istanbul from the Netherlands, and who are now employed by a Dutch call center company. Based on a survey and three focus groups of employee participants, this research finds that more recent and younger returnees primarily bond with family and friends in Holland through use of Dutch media and Internet use, while longer-term returnees connect more with Turkish media. Some bridging was occurring through interpersonal communication with Turks by the younger and more recent arrivals."
2007-0005,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,Explaining Technologies,,,,Paper,A Burkean Analysis of Stability and Change: Structure and Symbol in the Use of the Term Platform,Explaining Technologies,"In this essay, we complete a rhetorical analysis of the term platform. In 6 interviews from Norway and the United States, interviewees voluntarily mentioned platforms in descriptions of their specific jobs and the role of Information/Communication/Technologies (ICTs) in the workplace. We compare these 6 cases by plotting them in a table that displays the organizational parameters of stability and change as compared to Kenneth Burkes features of structure and symbol. This comparison shows that platform is used, both technically and metaphorically, to demonstrate competence in a changing field of knowledge, as well as a desire for more strict commitment to human discipline."
2007-0006,A Case Study of Boundary and Identity Management in a Virtual Team,Teams: Virtual and Otherwise,,,,Paper,A Case Study of Boundary and Identity Management in a Virtual Team,Teams: Virtual and Otherwise,"Guided by the bona fide group theory, this case study examined how a virtual team socially constructed and reinforced its groups boudaries and evolved a group identity in elecontrically mediated interaction. The group faced the challenge of blurring boudaries as a result of overlapping responsibilities with interlocking groups. In addition, the members experienced dialectal tensions in face of the permeability of group boundaries. The study explained how the group managed those tensions through its communication practices, some of which preserved the group boundaries. Moreover, the members experienced significant identity shift as reflected by shifting patterns and norms of group interaction."
2007-0007,A Case Study of Why Local Reporting Matters: Photojournalism Framing of the Response to Hurricane Katrina in Local and National Newspapers,Race and Ethnicity in Risk Situations,,,,Paper,A Case Study of Why Local Reporting Matters: Photojournalism Framing of the Response to Hurricane Katrina in Local and National Newspapers,Race and Ethnicity in Risk Situations,"This study examines the framing of the response to hurricane Katrina in local and national newspapers as part of a broader study of the importance of localism in media markets.

Gandy and Lee studied the photojournalism record presented in the New York Times and The Washington Post with a concern that American photojournalists followed a traditional template used by the Western press when it covers periodic disasters in the Third World. Observers suggest that many of the images of the disaster in New Orleans looked very similar to the images of American doctors and marines rescuing the starving desperate victims. But Gandy and Lee did not have extensive data on the underlying reality of the events in New Orleans. This Study uses the photojournalism record of the hometown papers as a baseline  The Times Picayune and the Sun Herald, both of which won Pulitzer Prizes for their coverage.

We find that the national papers simplified the situation and exaggerated the role of victims; depicted many more passive black victims in New Orleans and one of the papers reported many more negative actions by Blacks. At the same time, we find a uniform absence of Black rescuers across all papers, particularly in National Guard Units, that raises questions about the racial make-up of these units and their deployment, beyond the issue of photojournalism.

The findings underscore the importance of local sources of news. Even though distribution through a new medium such as the Internet may make sources more readily available, it is the original local reporting that is the key."
2007-0008,"Achieving Universal Service, Access, and Membership Across the Western Hemisphere: Realizing the Third Force","Uniting the Americas: Content, Control, Critique, and Collaboration",,,,Paper,"Achieving Universal Service, Access, and Membership Across the Western Hemisphere: Realizing the Third Force","Uniting the Americas: Content, Control, Critique, and Collaboration",none
2007-0009,A Click in Time: How Values Shape Media Choices Within Generations,Trends in Media Choice and Use,,,,Paper,A Click in Time: How Values Shape Media Choices Within Generations,Trends in Media Choice and Use,"This paper explores the nexus between media technology and changing value systems from a generational perspective to examine how they might intersect one another in everyday life, specifically in the context of family life. Given that values ultimately influence behavioral decisions, be they related to media use or not, this paper argues that a meaningful way to assess behavioral decisions is to examine them by looking not only at the outcome choice (e.g. the decision to play a video game versus surf the web), but examine what value might have fed into that outcome choice (e.g. the desire to attain a sense of accomplishment versus pure enjoyment), within the context of the users generational membership (e.g. parents versus children). Using a multi-method approach (including focus groups, peer interviews, in-home ethnogaphies, and long-term deprivation), this research explores the values central to parents and kids and how those values dirve their media choices and behaviors."
2007-0010,A Collaborative Success in Chinese Film Industry: A Case Study of Crazy Stone,Methodologies of Comparative Media Research in a Global Sphere,,,,Paper,A Collaborative Success in Chinese Film Industry: A Case Study of Crazy Stone,Methodologies of Comparative Media Research in a Global Sphere,none
