Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2006-0001,2004 Presidential Campaign Messages: A Functional Analysis of News Releases from President Bush and Senator Kerry,2,1,Sooyoung Cho,U of South Carolina
2006-0001,2004 Presidential Campaign Messages: A Functional Analysis of News Releases from President Bush and Senator Kerry,2,2,William L. Benoit,U of Missouri
2006-0002,A Blended Approach to Cosmological Crisis: A Theoretical Analysis of Communication Efforts by the Canadian Tourism Commission Post 9/11,1,1,Sandra Braun,U of Alabama
2006-0003,A Brave New World for International News? Exploring the Determinants of the Coverage of Foreign Nations on U.S. Web Sites,1,1,H. Denis Wu,Louisiana State U
2006-0004,"Abstract Inclusion-Concrete Exclusion: ICTs, EU Policies And Aspects Of Digital Divide",1,1,Miyase Christensen,Karlstad U
2006-0005,"Abu Ghraib Revisited: News Narratives, Visual Culture, and the Power of Photography",1,1,Kari Anden-Papadopoulos,Stockholm U
2006-0006,A Burkean Theory of Media Effects: Toward a Non-Salience Theory of Framing,1,1,Omri Ceren,U of Southern California
2006-0007,A Case Study of Government PR Practices in Korea: An Application of Huttons PR Model,3,1,Kihan Kim,U of Texas
2006-0007,A Case Study of Government PR Practices in Korea: An Application of Huttons PR Model,3,2,Jongmin Park,Kyung Hee U
2006-0007,A Case Study of Government PR Practices in Korea: An Application of Huttons PR Model,3,3,Jiho Jang,Hankook U of Foreign Studies
2006-0008,Access to Information as a Human Right: Analysis of the United Nations Human Rights Committee,1,1,Cheryl Bishop,U of North Carolina
2006-0009,"Accounting for the 1920 Lynching in Duluth, Minnesota: Marginalizing People, Groups, and Ideas in Selected Minnesota Newspapers (Top Interactive Paper)",1,1,Kristin L. Gustafson,U of Washington
2006-0010,Accounting for the Development of the U.S. Cable Television Industry in Pennsylvanias Anthracite Coal Region: A Literature Review and Theoretical Model,1,1,Megan Mullen,U of Wisconsin - Parkside
2006-0011,A Comparative Analysis of the Framing of Conflict in Cancer News: Mobilizing African Americans to Better Health,3,1,Crystal Yvette Lumpkins,U of Missouri
2006-0011,A Comparative Analysis of the Framing of Conflict in Cancer News: Mobilizing African Americans to Better Health,3,2,Maria E. Len-Rios,U of Missouri
2006-0011,A Comparative Analysis of the Framing of Conflict in Cancer News: Mobilizing African Americans to Better Health,3,3,Glen T. Cameron,U of Missouri
2006-0012,A Comparative Content Analysis of Wartime News Sources: CNN and Al-Jazeera,1,1,Seckjun Jang,U of Texas
2006-0013,A Comparative Study of Employee/Superior Communication Style between Finnish & Mexican Employees,3,1,Federico Varona,San Jose State U
2006-0013,A Comparative Study of Employee/Superior Communication Style between Finnish & Mexican Employees,3,2,Päivi Vaahterikko-Mejía,U of Jyväskylä
2006-0013,A Comparative Study of Employee/Superior Communication Style between Finnish & Mexican Employees,3,3,Mariela Pérez Chavarría,Tecnológico de Monterrey
2006-0014,A Comparison of Dialogue and Focus Group Procedures for Influencing Publics Views Toward Controversial Science,4,1,Ted Zorn,U of Waikato
2006-0014,A Comparison of Dialogue and Focus Group Procedures for Influencing Publics Views Toward Controversial Science,4,2,Juliet P. Roper,U of Waikato
2006-0014,A Comparison of Dialogue and Focus Group Procedures for Influencing Publics Views Toward Controversial Science,4,3,Celia Kay Weaver,U of Waikato
2006-0014,A Comparison of Dialogue and Focus Group Procedures for Influencing Publics Views Toward Controversial Science,4,4,Colleen Rigby,U of Waikato
2006-0015,A Comparison of Election News Coverage in Sweden and the United States,2,1,Jesper Stromback,Mid Sweden U
2006-0015,A Comparison of Election News Coverage in Sweden and the United States,2,2,Daniela V. Dimitrova,Iowa State U
2006-0016,A Comparison of Self-Categorization and Spiral of Silence Explanations for Speaking Out (Top Three Paper),7,1,Scott A. Reid,U of California
