Paper ID,Title,Type,Title to Check,Abstract
2003-0001,Access to the Media Versus Access to Audiences: The Distinction and its Implications for Media Regulation and Policy,  Individual Submission type: Paper,Access to the Media Versus Access to Audiences: The Distinction and its Implications for Media Regulation and Policy,"When the issue of speakers' rights of access arises in media regulation and policy contexts, the focus typically is on the concept of speakers' rights of access ""to the media,"" or ""to the press."" This right typically is premised on the audience's need for access to diverse sources and content. In contrast, in many non-mediated contexts, the concept of speakers' rights of access frequently is defined in terms of the speaker's own First Amendment right of access to audiences. This paper explores the distinctions between these differing interpretations of a speaker's access rights and argues that the concept of a speaker's right of access to audiences merits a more prominent position in media regulation and policy. This paper then explores the implications of such a shift in perspective for media regulation and policy-making."
2003-0051,An Experimental Evaluation of Readers' Perceptions of Media Bias,  Individual Submission type: Paper,An Experimental Evaluation of Readers' Perceptions of Media Bias,"We explored the perceptions of media bias on the part of news article readers by manipulating their expectations of bias and the topic of the stimulus materials. Readers were more likely to designate material in opposition to their own viewpoints as biased. The statements often indicated as biased were quotations, rather than the other types of statement in the reports. Also, the perception of bias was topic-dependent."
2003-0101,Buddhist Public Relations Model for Thai Community Development: Theoretical and Practical Implications,  Individual Submission type: Paper,Buddhist Public Relations Model for Thai Community Development: Theoretical and Practical Implications,"This research study challenges the conventional public relations by examining alternative public relations for Thai community-based organizations. The researcher views the conventional public relations practices in Thailand as simply following Western paradigms, often found unfit in the Thai contexts. The alternative model is reconceptualized within the Buddhism-based buranagarn framework, which embraces the understanding of complexity, plurality, interrelatedness, and interdependence of social reality. In an attempt to examine the interplay of the Buddhism-based buranagarn framework and the Western qualitative perspective, the term relational integration is introduced. Within the relational integration framework, this study integrates the Buddhist way of thinking into the critical public relations theory and research, and coins this new concept as Buddhist public relations.
Through the integrated research method of critical-qualitative ethnography and collaborative action research, the researcher develops the experiential knowledge of public relations as community-building and co-operative learning process for community-based organizations from the particular locales in Bangkok metropolitan and the North-East region of Thailand. It is found that to facilitate the Buddhist public relations for community-based organizations, three major approaches needs to be taken into consideration: 1) Building Buddhist values as moral and spiritual groundwork; 2) Developing dialectic dialogue through community culture and social relationships; and 3) Facilitating community interaction."
2003-0151,"Comparative Analysis of Street-based, Brothel-based, and Discreet Commercial Sex Workers on Factors Predicting Condom Use",  Individual Submission type: Paper,"Comparative Analysis of Street-based, Brothel-based, and Discreet Commercial Sex Workers on Factors Predicting Condom Use","The objective was to examine the relative vulnerability of different categories of female commercial sex workers (CSWs) to HIV infection. In this study, we considered the consistent use of condoms as an effective preventive measure against HIV infection. Research has shown that condom use is predicted by several cognitive and environmental variables such as AIDS knowledge, perception of vulnerability, perception of outcome expectancies, perception of social support, peer-group comparison, and condom use self-efficacy. Therefore, to examine the relative vulnerability to HIV infection we examined the variance in factors listed above among three categories of female CSWs in the city of Chennai in India.
The study found significant differences among the three groups of CSWs on the following factors: AIDS knowledge, perception of vulnerability, perception of social support, and peer-group comparison. The study will have wide implications for designing HIV/AIDS prevention interventions, public health campaigns and policies that are targeted at the vulnerable CSW population in Chennai and other places in India."
2003-0201,Cyberactivism: Constructing social movement identities through e-mail,  Individual Submission type: Paper,Cyberactivism: Constructing social movement identities through e-mail,"This paper examines the process of identity building by social movements in a key global event at the end of the 20th century: the Battle in Seattle. Drawing from New Social Movement collective identity literature, it employs rhetorical analysis of e-mail list serves used to organize the demonstrations and educate participants, finding that these lists used three means of building identity: a) calling for mutual aid b) facilitating dialogue and c ) promoting an analytical approach."
2003-0251,Effects of Global Television News On US Policymaking,  Individual Submission type: Paper,Effects of Global Television News On US Policymaking,"This study investigates the effects of global television news on the formulation and implementation of U.S. foreign policy. While it found no evidence to support the CNN effect, a hypothesis that claims global television now determines policy, it does present evidence and analysis of other significant effects on various phases and dimensions of policymaking. This study also suggests that global news coverage has created political, professional, and ethical dilemmas for the three major groups of participants in policymaking: politicians, officials, and journalists. Furthermore, it asserts that these groups have not yet sufficiently adjusted to the new television saturated environment of policymaking."
2003-0301,Flock Theory: A New Model of Emergent Self-Organization in Human Interaction,  Individual Submission type: Paper,Flock Theory: A New Model of Emergent Self-Organization in Human Interaction,"This paper introduces a new theory of emergent self-organization in human interaction. Flock Theory draws from a theoretical basis of emergence and self-organizing systems (Contractor, 1994; Hodgson, 2000; Monge & Contractor, 2001; Monge & Eisenberg, 1987). Likewise, two other important theoretical works are offered, Eric Eisenbergs work on the transcendent organization of jamming (Eisenberg, 1990), and R. Keith Sawyers work on the Emergence of Creativity (Sawyer, 1999). Catalyzed by a computer graphic simulation of a flock of birds by Craig Reynolds (Reynolds, 1987), and conceived to model jazz improvisation, Flock Theory is presented axiomatically. Focusing on the optimization of group members distance, the maintenance of leadership, and matching of direction of other individuals, this theory poses a model of human interaction that captures the potentially egalitarian effects of a cooperative evolution. Methods and applications of Flock Theory extend across disciplines, from task groups to online interaction."
2003-0351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,  Individual Submission type: Paper,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,"This study presents results from a content analysis of newspaper coverage of protests movements by Wisconsin newspapers over a period of four decades (1960 to 1999). Analysis focused on differences and similarities in issues protested across time and location, while comparing regional and local papers. Included in these examinations are the topics of protests, the range of protest targets, and differences in coverage across newspapers with regard to location of protest as an intervening variable. In the process, this study brings past research on the protest paradigm under the purview of historical analysis by examining trends over time using a Midwestern state as a case study."
2003-0401,"Instant Identity: Girls, Adolescence and Negotiation of Identity in the New Culture of Instant Messaging",  Individual Submission type: Paper,"Instant Identity: Girls, Adolescence and Negotiation of Identity in the New Culture of Instant Messaging","Recent studies show that millions of adolescent girls in the past few years have turned to a relatively new real-time communication technology, Instant Messaging, as a primary means of communication with their peers. This raises intriguing questions about how adolescent girls  a group that historically was placed at the margins of study  may use Instant Messaging to negotiate and articulate identity at a particularly turbulent time in their lives. This preliminary study uses the qualitative methods of interview and narrative analysis to investigate this phenomenon with a framework grounded in poststructuralist feminist theory and cultural studies views of identity construction. Its findings suggest adolescent girls have come up with creative uses for the technology that are at once empowering to them but also suggest adherence to patriarchal cultural norms."
2003-0451,Letters to America: Dialectical epistolarity in post-9/11 advertising,  Individual Submission type: Paper,Letters to America: Dialectical epistolarity in post-9/11 advertising,"In the aftermath of the September 11, 2001 attacks in New York and Washington, advertisers sought to reassure their clients and colleagues that business would continue and that the nation would recover. Many of the full-page advertisements in the New York Times during the six weeks following the attacks were framed as letters. This study draws upon the literatures of epistolary critique, visual meaning and metaphor, and rhetorical criticism to explore the rhetorical device of framing ads as letters. We utilize the triadic classification system of Charles Sanders Peirce to classify the letters-as-ads into either iconic, indexical or symbolic frames. Our initial assumption that more graphically iconic ads would rely less on textual metaphor, and vice versa, was confirmed. Finally, we encourage the consideration of epistolary rhetoric as a critical tool of analysis."
2003-0501,More Multicultural Than Thou: The News Paradigm and the Sjöbo Affair in the Swedish Press,  Individual Submission type: Paper,More Multicultural Than Thou: The News Paradigm and the Sjöbo Affair in the Swedish Press,"This project examines newspaper coverage as an expression of societys need for stories that underscore powerful norms regarding ethnicity and multiculturalism. What is the role of journalists in voicing norms and myths about issues related to race and ethnicity?
The case subject is the refusal of a Swedish town, Sjöbo, to accept refugees in 1987 and 1988 in violation of national immigration policy. A storm of negative coverage accompanied the unfolding political situation; in its wake, the town came to symbolize xenophobia, racism, and general backwardness in Swedish society.

The paper begins with Stephen Reeses idea of a News Paradigm, seeking to understand the medias role in supporting the dominant ideology and the News Paradigms function therein. Data were gathered using content and discourse analysis of 300 newspaper articles as well as transcriptions of depth interviews with the journalists who regularly covered the story.

The analysis indicates that the news paradigm is strong but not invisible, because journalists operate self-consciously within it. The newspaper article texts are strikingly similar both in terms of the normative consensus they support and in terms of the professional ideology reflected in them. However, interviews with the journalists suggest that they felt trapped by the news paradigm, implying that its primary strength, its invisibility, is undermined by individual journalist sensibilities.

In addition, analysis of newspaper articles reveals that the medias role in describing and perhaps perpetuating events became a prominent subtext in the newspaper narrative."
2003-0551,Organizational Culture Approaching the Edge: A Case Study of Organizational Change,  Individual Submission type: Paper,Organizational Culture Approaching the Edge: A Case Study of Organizational Change,"This report begins by describing different orders of change and how complex adaptive systems evolve. Systems may reach a bifurcation point where the entire system must change. Managers have developed strategic initiatives to accomplish transformative change, but these initiatives normally fail unless there is a culture change. The purpose of our research was to describe one organizations culture as it approached a bifurcation point.

We employed qualitative methods to assess the culture of a large government agency experiencing turbulence. The themes in our data suggested that individuals were relying on identities in local units rather than the organization as a whole. Organizational members were experiencing uncertainty, had lost trust, but contained anxiety with humor."
2003-0601,Priming in the Inoculation Process: An Alternative Route of Resistance to Persuasion,  Individual Submission type: Paper,Priming in the Inoculation Process: An Alternative Route of Resistance to Persuasion,"Abstract
This investigation compared established explanations for the way inoculation confers resistance and an alternative explanation based on priming. A total of 308 participants took part in the study in three phases spanning 80 days. The pattern of results indicated that inoculation treatments trigger threat; that elicited threat directly enhances Phase 2 attitude which directly fosters resistance. The results also indicated that inoculation treatments elicit anger and reduce the number of positive responses to the attack message, which, in time, directly enhance resistance to the influence of persuasive attacks. In addition, results showed that issue involvement enhances counterarguing output which, in turn, directly fosters resistance. Results of structural equation modeling indicated that inoculation treatments trigger threat; however, elicited threat neither directly nor indirectly enhances resistance. This unexpected finding may be attributed to one of the topics selected, which failed to generate a high enough threat level as was generated in previous studies. Finally, structural equation modeling didn't reveal any path between inoculation and resistance, suggesting that anger, responses to the attack message, and counterarguing output may have accounted for most of the variance in participants' resistance to the influence of persuasive attacks. The theoretical implications of these findings are discussed."
