Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
07-1,2008 Summer Games: Beijings Image Campaign,1,1,Briar Rose Smith,U of Pennsylvania
07-51,All About CSI: CSI Day and the Formation of New Media Culture in Korea,1,1,Young Chan Kim,Nanyang
07-101,Arab Media Between the State and Transnational Forces,1,1,Oliver Boyd-Barrett,Bowling Green State U
07-151,"Beyond Network Neutrality: Criteria for a Democratic Internet, TOP STUDENT PAPER",2,1,Sascha D. Meinrath,Institute for Communications Research
07-151,"Beyond Network Neutrality: Criteria for a Democratic Internet, TOP STUDENT PAPER",2,2,Victor W. Pickard,U of Illinois
07-201,Cartography of the Electromagnetic Spectrum: A Review of Wireless Visualization and its Policy Consequences,1,1,Christian E. Sandvig,U of Illinois - Urbana-Champaign
07-251,Communication as Therapy: The Influences of Social Interaction on Seasonal Affective Disorder,4,1,Daniel Cochece Davis,Marist College
07-251,Communication as Therapy: The Influences of Social Interaction on Seasonal Affective Disorder,4,2,Elizabeth Easlon,Marist College
07-251,Communication as Therapy: The Influences of Social Interaction on Seasonal Affective Disorder,4,3,Caitlin Halligan,Marist College
07-251,Communication as Therapy: The Influences of Social Interaction on Seasonal Affective Disorder,4,4,Susan Grant,Marist College
07-301,Connecting With Rich: His Collegial Immediacy and Animation,1,1,Leeva Chung,U of San Diego
07-351,"Creating Commitment, Challenging Establishment: The Surplus Value of an Alternative News Agency in a Digital Society",1,1,Stijn Joye,Ghent U
07-401,Designing Europe: The Visual Construction of European Identity in the Public Communication Materials of Fifty Cities Participating in the European Capital of Culture Scheme,1,1,Giorgia Aiello,U of Washington
07-451,Does the Perceptual Discrepancy Lead to Action? A Meta-Analysis of the Behavioral Component of Third-Person Effect,2,1,Jie Xu,U of Alabama
07-451,Does the Perceptual Discrepancy Lead to Action? A Meta-Analysis of the Behavioral Component of Third-Person Effect,2,2,William Gonzenbach,U of Alabama
07-501,Emerging Cultural Paradigm in Public Relations Strategies for Social Change,1,1,"Belio Antonio Martinez, Jr.",U of Florida
07-551,Explaining Negative E-Mail Effects: The Role of Customization,4,1,Bart J. van den Hooff,Vrije U of Amsterdam
