Paper ID,Title,Session,Division/Unit,Sumission Type,Research Areas,Title to Check,Session to Check,Abstract
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,Sex and Romance and Sexual Identity: Exploring Links With Media (High Density Session),Children Adolescents and Media,Paper,,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,Sex and Romance and Sexual Identity: Exploring Links With Media (High Density Session),"The objectives of this study are (1) to investigate gender differences in mobile texting behavior among adolescents and (2) to examine a novel methodology – corpus comparison analysis – in analyzing mobile-phone-based interactions. Applying corpus comparison method, the present study especially delineates patterns of expressions used in actual text messages. Results revealed that gender differences persist in texting behavior: (1) girls exchange more messages than boys do; (2) girls are more likely to develop and maintain relationship through texting, whereas boys use text messages mainly for flirting; (3) language which girls used in texting includes more self-disclosure of their emotions and personal information; (4) expressions for politeness occur more frequently in girls’ text messages. Theoretical explanations of gender differences in mobile texting are provided. The strengths and limitations of keyword comparison method are discussed as well."
2013-1001,Letting Go of Superwoman: Embodying the Mother-Child Dyad,Gender Blind/Gender Vision: One Step Forward,Feminist Scholarship,Work in Progress,,Letting Go of Superwoman: Embodying the Mother-Child Dyad,Gender Blind/Gender Vision: One Step Forward,"This chapter is a work in progress. This is an excerpt from Reviving the Self: Beyond the Wandering Womb (working title of a book in progress). In Chapter 2: Letting go of superwoman: Embodying the mother-child dyad, I present findings from 44 in-depth interviews with biological mothers of newborns to understand how the mother-child dyad impacted their meaning making of health. Participants acknowledged the intrinsic duality of the mother-child dyad and reformulated traditional expectations of “putting the baby first.” This chapter weaves an eclectic mix of feminist theory and scholars, including Foucault, Pollock, Martin and Friedan to explicate how women make meaning of medicalization. Participants described a contest over their bodies in relation to diet and exercise before, during, and after pregnancy. These women resisted the biomedical paradigm in various ways, such as through trusting their bodies and valuing storytelling and personal narrative as a form of expertise."
2013-1051,Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,Covering the World: Foreign Correspondents and Foreign News,Journalism Studies,Paper,"Bias in News, Media Effects - Other, Quantitative approach",Making the World a Distant Place? How Foreign TV News Affects Individual Cynicism in Post-Colonial Hong Kong,Covering the World: Foreign Correspondents and Foreign News,"This paper examines the psychological impact of foreign television news on political cynicism in Hong Kong. We hypothesize that exposure to the prevalent negative events and conflicts in international news will lead to the audience’s cynical perception of the world. Given Hong Kong’s colonial history and its highly mobilized population, we further investigate the role of individual globality and immigration status in the process. A random digit dialing telephone survey was conducted in 2009 to select a sample of 600 Hong Kong residents aged between 18 and 70. The results showed that individual attention to foreign news of deviants was positively associated with political cynicism among those first-generation immigrants who were born in mainland China or elsewhere, but negatively related among local Hong Kongers. The implications of the findings were discussed."
2013-1101,Media Cues and Citizen Support for Right-Wing Populist Parties,"Immigration, Racial Attitudes, and Right-Wing Populism",Political Communication,Paper,"Political Behavior - Other, Elections / Campaigns, Media Effects - Other",Media Cues and Citizen Support for Right-Wing Populist Parties,"Immigration, Racial Attitudes, and Right-Wing Populism","Right-wing populist parties are thriving across Europe. Usual explanations for the success of these parties are based on notions related to economics, national identity or cultural alienation. Some authors, however, have shown that the mass media also play a significant role. Whereas these studies provide evidence drawing on macro-level data resources and/or qualitative accounts, there is little systematic evidence about how mass media coverage may affect support for the populist right on the level of the individual voter. The current study adds to the existing literature on media and political populism by 1) its individual-level focus, 2) the use of an experimental design employing multiple cues: an immigration cue, an anti-politics cue and a party cue, and 3) by drawing on explicit and implicit data for party support. We find effects of certain cues on both implicit and explicit support for far right parties, moderated by political knowledge."
2013-1151,m-Health: A Systematic Review of the First 10 Years of Research,Diverse Facets of ICT Use (CAT High Density Panel II),Communication and Technology,Paper,"Mobile Media, Health Communication, Internet / New Technology",m-Health: A Systematic Review of the First 10 Years of Research,Diverse Facets of ICT Use (CAT High Density Panel II),"In the last decade m-Health has expanded as a part of e‐Health. Yet, systematic research on the impact of mobile technologies on health outcomes remains scarce. The objective of this study was to provide a comprehensive view of what has been done so far, and to understand how the introduction of new smartphones has changed research in the field. A systematic literature review was conducted on a sample of 117 articles published between 2002 and 2012 to understand the main impact areas of mobile technologies, the methodology and the features used, and the type of outcome measures adopted. Results showed that the research interest towards m‐Health is growing, however the new opportunities offered by new mobile technologies do not seem to have been explored so far. Mapping the evolution of the field permits a better understanding of its strengths and weaknesses, and can inform future developments."
2013-1201,"My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",Privacy and Trust in the Online Environment,Communication and Technology,Paper,"Internet / New Technology, Public Opinion","My Privacy is Okay, But Theirs is Endangered! Social Origin of Online Privacy Concern and its Behavioral Implications",Privacy and Trust in the Online Environment,"On the Internet, people’s activities are easily traced and collected, and online privacy infringement (i.e., improper use of personal information) has been reported in advanced societies. Based on prior studies on risk perception, this study examines comparative optimism of online privacy infringement (i.e., users tend to believe privacy infringement is less likely to happen to the user than others), and its antecedents and consequences. Relying on large scale online survey data in South Korea (N = 2,028), this study finds that (1) comparative optimism is enlarged as the targeted others are younger, (2) online knowledge and others-caring personality increases comparative optimism by mainly influencing perceived target risk and prior experience of privacy infringement increases comparative optimism by mainly influencing perceived personal risk, and (3) comparative optimism is related with both more adoption of privacy-protective behaviors and support for government regulatory policy on the use of online information."
2013-1251,News Media Use and the Informed Public in the Digital Age,"Changing Media Environments, Changing Media Use Patterns",Political Communication,Paper,"Political Knowledge & Sophistication, News / Journalism, Internet / New Technology",News Media Use and the Informed Public in the Digital Age,"Changing Media Environments, Changing Media Use Patterns","Questions concerning the primary sources of political information and their efficacy are of perennial concern in political communication research. Although research in this area is known for a number of stable patterns, we argue that these are under greater strain than ever before, and that key assumptions about how individuals acquire political information from the media must be continually investigated. In this paper, we use data from a nationally representative online survey to provide just such a reexamination of relationships between news media use and political knowledge. We find that by some measures, directed internet searches have come to rival television news as a source for information, and that newspapers no longer appear to have the strongest educative influences. In addition to providing an updated assessment of media use and political knowledge patterns, we consider the implications of our findings for contemporary theoretical discussions within the field of political communication."
2013-1301,Online Sophistication of News Websites,New Perspectives on Journalistic Structures and Labor,Journalism Studies,Paper,"Online media/blogs, International/comparative research, Quantitative approach",Online Sophistication of News Websites,New Perspectives on Journalistic Structures and Labor,"After a comparatively short period of time, the internet has become the second most important source of news (Pew Research Center, 2011). Whilst new forms of presentation and user participation make a ""way new journalism"" possible (Quittner, 1995), researchers around the world criticize that news websites do not live up to their potentials. To offer an explanation for the slow adaption, we examine if there is a path dependency between news websites’ online sophistication and their structural background. Based on a large-scale automated content analysis, we analyze the use of hyperlinks, multimedia, and polls on 84 news websites from 9 countries that comprises about 65,000 news articles. We found that institutional factors (media system, nation, media type) have a far stronger influence on websites’ online sophistication than content-related factors. While we also found indicators that news websites have detached from their offline backgrounds, this proves that path dependency is strong."
2013-1351,Parent-Child Joint Reading in Traditional and iPad Formats,Learning and Socializing Through Use of Mobile Devices and Games,Children Adolescents and Media,Paper,,Parent-Child Joint Reading in Traditional and iPad Formats,Learning and Socializing Through Use of Mobile Devices and Games,"With the growth of electronic technologies, such as the iPad, parents are now able to read to their children using different platforms. This study used a repeated-measures design with parents and their preschool-aged children to test the difference between reading interactions on two platforms: traditional books and electronic iPad books. Children’s story comprehension was also measured. Overall, results indicated that in the iPad joint reading condition, parents used more disciplinary comments, and more talk about the book format and environment than in the traditional book condition. Conversely, in the traditional book condition, parents used more evaluative comments and asked more questions about the content of the book than in the iPad condition. Finally, children did comprehend significantly more in the traditional book condition than in the iPad book condition. Additional analyses suggested that this last finding was related to the increase in distraction talk by parents in the iPad condition."
2013-1401,Play to the Camera: Audio-Visual Research and Spectatorship in e-Sports,Game Studies Top Papers,Game Studies,Paper,,Play to the Camera: Audio-Visual Research and Spectatorship in e-Sports,Game Studies Top Papers,"Competitive video gaming (also referred to as electronic sports, or “e-Sports”) includes a range of organizations, communities, and sets of practices that place tremendous value (both monetary and cultural) on audiences: playing games competitively, in front of other people, represents the legitimization of e-Sports as a spectatorial activity. This paper reports on an audio-visual ethnography of a community of competitive gamers for whom the video camera was not so much a research tool, but a promotional resource.

Through an a comparison of the different “activity structures” enacted by the researcher’s dual role as ethnographer and promotional videographer, this paper explores the methodological and epistemological complexities that can arise when digital technologies that are central to the communicative practices of a community become, at the same time, data collection tools for researchers."
