Year,Session Type,Session Title,Division/Unit,Chair Name,Chair Affiliation
2014,Paper Session,Meda Coverage of Health Issues,Health Communication,Xiaoli Nan,U of Maryland
2014,Paper Session,Cognition and Health,Health Communication,Seth M. Noar,U of North Carolina
2014,Paper Session,Changing the News 140 Characters At a Time: Twitter's Impact on Journalism,Journalism Studies,Seth C. Lewis,U of Minnesota
2014,Paper Session,Media and Political Contestation in Greater China,Global Communication and Social Change,Guobin Yang,University of Pennsylvania
2014,Paper Session,Between Science and the Public: Studies in Science Journalism,Journalism Studies,Henrik Ornebring,Karlstad U
2014,Paper Session,"Good Grief! Disasters, Crises, and High-Risk Organizational Environments",Organizational Communication,Sun Kyong Lee,U of Oklahoma
2014,Paper Session,Persuasion in Social Media Contexts,Communication and Technology,Jong-Eun Roselyn Lee,School of Communication
2014,Paper Session,"Sexting, Sexual Selfies, and Sexism in Social Media Contexts",Communication and Technology,Gordon Carlson,Fort Hays State University
2014,Paper Session,News Evaluation and Credibility,Mass Communication,Patrick Roessler,U of Erfurt
2014,Paper Session,Narrative Engagement and Persuasion,Mass Communication,Rick W. Busselle,Bowling Green State University
2014,Paper Session,Public Understanding of Climate Change: From Misperceptions to Engagement,Environmental Communication,Merav Katz-Kimchi,Ben Gurion University of the Negev
2014,Paper Session,"Counterprogramming: Resistance, Satire, Subversion",Popular Communication,Henry Siling Li,Curtin University
2014,Paper Session,Outcomes of CSR-Related Initiatives,Public Relations,Craig E. Carroll,New York U
2014,Paper Session,Consumer Behavior and Social Media,Communication and Technology,Sonja Utz,Knowledge Media Research Center
2014,Paper Session,New Perspectives in Interpersonal Communication,Interpersonal Communication,Graham Douglas Bodie,Louisiana State U
2014,Paper Session,Health Message Framing Issues,Health Communication,Shahira S. Fahmy,U of Arizona
2014,Paper Session,Applications of Health Behavior Change Theory,Health Communication,Leanne Chang,National U - Singapore
2014,Paper Session,Critical Perspectives in Development Communication,Global Communication and Social Change,Karin Gwinn Wilkins,U of Texas - Austin
2014,Paper Session,On Good Authority: Leadership and Expertise in the Workplace,Organizational Communication,Bernadette Marie Gailliard,Rutgers U
2014,Paper Session,Mobile Phones and Macro to Micro Behaviors,Communication and Technology,Brett Oppegaard,Washington State U- Vancouver
2014,Paper Session,Media Structure: Fragmentation and Polarization,Mass Communication,James G. Webster,Northwestern U
2014,Paper Session,Media and Morality,Mass Communication,Rene Weber,U of California - Santa Barbara
2014,Paper Session,Public Attitudes and Responses to Environmental Messages,Environmental Communication,Xinghua Li,Babson College
